Customer_Segment,Acquisition_Channel,Region,Tenure_Months,Customer_Lifetime_Value,CSAT_Rating,Churn
Regular Consumer,Paid Search,Europe,8,1211.09,4,0
High-Tier VIP,Email Referral,Europe,42,4636.98,4,0
Budget Hunter,Social Media,Europe,37,352.91,1,1
Budget Hunter,Paid Search,North America,9,435.6,4,1
Budget Hunter,Paid Search,Europe,25,388.12,4,0
Budget Hunter,Social Media,North America,25,389.27,3,0
Regular Consumer,Organic/Direct,Latin America,33,1566.66,3,0
Budget Hunter,Organic/Direct,Latin America,2,490.58,1,1
High-Tier VIP,Paid Search,Europe,19,7024.04,4,0
Budget Hunter,Paid Search,North America,46,299.34,1,0
Budget Hunter,Social Media,Asia-Pacific,20,566.07,4,0
Regular Consumer,Paid Search,North America,42,870.97,4,0
Budget Hunter,Paid Search,Europe,41,519.33,5,0
High-Tier VIP,Paid Search,North America,42,3786.8,4,0
Budget Hunter,Organic/Direct,Latin America,29,343.97,3,0
Corporate/Bulk,Email Referral,North America,6,11051.08,4,0
Regular Consumer,Social Media,Europe,17,939.91,4,0
Budget Hunter,Email Referral,Asia-Pacific,25,357.59,2,1
Budget Hunter,Paid Search,Europe,38,278.66,4,0
High-Tier VIP,Social Media,North America,4,3110.69,5,0
Regular Consumer,Paid Search,Latin America,30,1188.38,3,0
Regular Consumer,Social Media,Europe,20,1676.96,4,1
Regular Consumer,Email Referral,Europe,3,1123.79,5,0
Budget Hunter,Social Media,North America,23,432.34,4,0
Budget Hunter,Social Media,Europe,18,276.0,4,1
Budget Hunter,Social Media,Europe,26,237.7,3,0
High-Tier VIP,Paid Search,North America,36,5010.59,3,0
Regular Consumer,Email Referral,North America,8,1726.68,4,0
Budget Hunter,Social Media,Asia-Pacific,17,368.28,4,0
Budget Hunter,Social Media,North America,31,422.33,5,0
Budget Hunter,Social Media,North America,37,480.82,3,0
Budget Hunter,Social Media,Europe,45,346.8,4,0
Regular Consumer,Paid Search,Asia-Pacific,33,1154.38,3,0
Regular Consumer,Organic/Direct,North America,27,1341.63,2,0
High-Tier VIP,Paid Search,Europe,45,5231.27,4,0
Regular Consumer,Organic/Direct,North America,4,780.31,3,0
Budget Hunter,Organic/Direct,North America,22,375.88,3,0
Regular Consumer,Organic/Direct,North America,26,1199.8,3,0
Regular Consumer,Social Media,Asia-Pacific,32,963.14,3,1
Regular Consumer,Social Media,North America,24,1179.06,5,1
Regular Consumer,Paid Search,North America,46,850.4,4,0
Regular Consumer,Organic/Direct,Europe,35,746.72,2,0
Regular Consumer,Paid Search,Asia-Pacific,37,1220.05,5,0
Regular Consumer,Social Media,North America,32,1470.62,4,0
Budget Hunter,Paid Search,Europe,7,319.61,5,0
Budget Hunter,Paid Search,North America,33,265.94,3,0
Budget Hunter,Social Media,Europe,31,279.54,4,1
Regular Consumer,Paid Search,Europe,12,1364.68,5,0
Budget Hunter,Organic/Direct,Europe,11,495.9,3,1
Regular Consumer,Paid Search,North America,24,1431.14,5,0
High-Tier VIP,Paid Search,North America,8,5963.39,5,0
Budget Hunter,Social Media,North America,32,258.33,5,0
Regular Consumer,Paid Search,North America,38,1177.82,3,0
Regular Consumer,Paid Search,North America,22,1505.61,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,34,227.57,3,0
Budget Hunter,Paid Search,Latin America,19,292.39,5,0
Budget Hunter,Organic/Direct,Latin America,20,432.43,3,0
Budget Hunter,Paid Search,Asia-Pacific,14,372.61,4,0
High-Tier VIP,Paid Search,Europe,33,3414.25,4,0
High-Tier VIP,Organic/Direct,Asia-Pacific,10,2665.33,3,0
Regular Consumer,Paid Search,North America,16,1601.19,3,1
High-Tier VIP,Paid Search,Europe,4,2189.94,4,1
High-Tier VIP,Social Media,Europe,27,5211.44,5,0
Budget Hunter,Paid Search,Europe,28,303.36,1,0
High-Tier VIP,Organic/Direct,Asia-Pacific,43,5677.95,5,0
Regular Consumer,Paid Search,North America,16,887.36,4,0
High-Tier VIP,Organic/Direct,North America,33,7441.65,4,0
High-Tier VIP,Email Referral,Latin America,19,4952.59,4,1
Budget Hunter,Social Media,North America,21,399.62,3,1
Budget Hunter,Email Referral,Europe,22,282.36,4,0
Budget Hunter,Social Media,Latin America,9,338.33,4,1
Regular Consumer,Email Referral,Europe,9,1167.77,3,0
High-Tier VIP,Paid Search,Europe,9,6520.58,4,0
High-Tier VIP,Organic/Direct,North America,27,4950.65,1,0
Budget Hunter,Social Media,North America,17,397.59,4,0
Regular Consumer,Social Media,Asia-Pacific,44,1359.79,4,0
Regular Consumer,Social Media,Europe,45,1388.58,4,0
Budget Hunter,Organic/Direct,Europe,8,228.42,2,1
Budget Hunter,Paid Search,North America,16,529.31,5,0
Budget Hunter,Paid Search,North America,18,273.22,3,1
High-Tier VIP,Organic/Direct,Latin America,33,4456.8,4,1
Budget Hunter,Organic/Direct,North America,1,484.0,4,0
Regular Consumer,Email Referral,Europe,12,1780.39,4,0
Regular Consumer,Organic/Direct,North America,6,1441.79,3,1
Budget Hunter,Email Referral,Europe,41,305.84,4,1
Corporate/Bulk,Organic/Direct,Latin America,5,11351.27,3,1
Corporate/Bulk,Paid Search,Europe,16,11459.16,4,0
Budget Hunter,Paid Search,North America,18,367.71,4,0
Regular Consumer,Organic/Direct,Europe,18,830.98,4,0
Budget Hunter,Social Media,Asia-Pacific,1,460.26,4,0
Budget Hunter,Paid Search,Europe,19,361.78,5,0
Budget Hunter,Social Media,Asia-Pacific,8,286.81,3,0
Regular Consumer,Email Referral,Europe,3,1050.48,5,0
Regular Consumer,Social Media,Asia-Pacific,25,1280.96,2,0
Budget Hunter,Social Media,Europe,5,227.25,4,0
Budget Hunter,Social Media,North America,40,426.86,4,0
High-Tier VIP,Paid Search,North America,19,4764.07,4,1
Budget Hunter,Social Media,North America,18,487.0,3,0
Budget Hunter,Social Media,Latin America,31,356.79,4,0
Regular Consumer,Paid Search,Asia-Pacific,33,874.42,2,1
Corporate/Bulk,Organic/Direct,Europe,47,7706.04,3,0
Budget Hunter,Social Media,North America,18,315.81,2,1
Regular Consumer,Organic/Direct,North America,39,1114.53,4,0
Regular Consumer,Email Referral,Asia-Pacific,16,1029.82,2,1
Budget Hunter,Paid Search,Europe,16,361.24,2,0
Regular Consumer,Organic/Direct,North America,47,1022.21,2,0
Budget Hunter,Social Media,Europe,38,372.24,3,0
Regular Consumer,Email Referral,North America,41,1043.81,5,0
Regular Consumer,Paid Search,North America,7,1389.51,5,0
Regular Consumer,Organic/Direct,Europe,14,1106.97,2,1
Budget Hunter,Social Media,North America,43,459.04,4,0
High-Tier VIP,Paid Search,Latin America,25,5233.83,4,0
Budget Hunter,Paid Search,North America,32,366.94,4,0
Budget Hunter,Organic/Direct,North America,38,331.83,4,0
Budget Hunter,Organic/Direct,North America,22,217.09,3,0
Regular Consumer,Paid Search,Asia-Pacific,16,1624.06,4,0
Regular Consumer,Social Media,Europe,29,995.77,3,1
Budget Hunter,Social Media,Europe,16,357.94,2,0
Regular Consumer,Organic/Direct,North America,12,1303.14,4,0
Budget Hunter,Paid Search,North America,17,333.94,4,1
Regular Consumer,Email Referral,Europe,37,1606.38,3,0
Budget Hunter,Paid Search,Asia-Pacific,27,243.13,4,0
Regular Consumer,Social Media,Asia-Pacific,25,1720.18,4,0
Regular Consumer,Paid Search,North America,13,1401.47,5,0
High-Tier VIP,Paid Search,Europe,8,4222.78,4,1
Budget Hunter,Social Media,Latin America,5,329.42,4,0
Budget Hunter,Paid Search,North America,12,156.03,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,41,275.78,3,1
High-Tier VIP,Paid Search,North America,3,4101.86,2,0
High-Tier VIP,Social Media,Latin America,35,4698.12,3,0
Budget Hunter,Paid Search,Asia-Pacific,33,460.21,4,0
Regular Consumer,Paid Search,Latin America,22,1811.26,4,0
High-Tier VIP,Paid Search,Europe,44,4806.3,5,0
Regular Consumer,Social Media,North America,9,1261.68,4,0
Regular Consumer,Social Media,Latin America,41,1052.89,2,0
Budget Hunter,Social Media,North America,18,199.93,2,1
Budget Hunter,Social Media,North America,29,296.99,2,0
High-Tier VIP,Social Media,Asia-Pacific,39,4268.81,4,0
High-Tier VIP,Paid Search,Asia-Pacific,27,5597.32,4,0
Regular Consumer,Social Media,Latin America,36,1355.85,5,0
Budget Hunter,Email Referral,North America,45,369.39,4,0
Budget Hunter,Social Media,Asia-Pacific,17,299.18,5,0
Regular Consumer,Organic/Direct,Asia-Pacific,34,605.36,4,0
High-Tier VIP,Paid Search,North America,46,2338.02,5,0
High-Tier VIP,Organic/Direct,North America,3,2628.3,4,1
Regular Consumer,Organic/Direct,North America,5,1112.4,4,0
Regular Consumer,Social Media,North America,14,1498.21,4,1
Budget Hunter,Email Referral,Latin America,3,434.62,4,0
Budget Hunter,Paid Search,Europe,23,419.45,4,0
High-Tier VIP,Paid Search,Asia-Pacific,39,3920.52,2,1
Regular Consumer,Organic/Direct,Latin America,30,1543.28,1,0
Budget Hunter,Organic/Direct,North America,45,268.53,4,0
Budget Hunter,Paid Search,Asia-Pacific,23,424.67,4,1
Regular Consumer,Paid Search,Europe,27,697.63,2,0
Budget Hunter,Paid Search,Asia-Pacific,10,247.0,3,0
Budget Hunter,Paid Search,North America,25,494.6,3,0
Regular Consumer,Organic/Direct,Latin America,13,1138.85,4,0
Regular Consumer,Social Media,North America,16,995.71,3,0
Regular Consumer,Paid Search,North America,41,1530.83,2,0
Budget Hunter,Social Media,Asia-Pacific,34,456.52,2,0
Regular Consumer,Paid Search,North America,37,1070.02,2,0
Budget Hunter,Paid Search,Europe,22,374.37,5,0
Budget Hunter,Social Media,Europe,17,361.98,3,1
Regular Consumer,Email Referral,Asia-Pacific,23,351.87,4,0
Regular Consumer,Organic/Direct,North America,36,781.24,4,0
High-Tier VIP,Paid Search,North America,9,5560.04,5,0
Regular Consumer,Email Referral,North America,2,950.22,3,1
Regular Consumer,Organic/Direct,Europe,32,1358.95,2,0
Budget Hunter,Organic/Direct,North America,22,373.02,1,1
Budget Hunter,Social Media,North America,43,456.35,3,0
Budget Hunter,Social Media,North America,13,230.67,4,1
Budget Hunter,Paid Search,North America,8,384.49,2,1
Corporate/Bulk,Paid Search,Europe,1,10820.11,3,1
Regular Consumer,Paid Search,Asia-Pacific,17,963.07,5,0
High-Tier VIP,Paid Search,North America,12,3603.6,4,1
Regular Consumer,Social Media,Europe,4,1268.24,2,0
Regular Consumer,Organic/Direct,Europe,13,1388.9,1,0
Regular Consumer,Social Media,Europe,31,1219.08,2,0
Regular Consumer,Paid Search,Asia-Pacific,41,1228.41,5,0
Regular Consumer,Email Referral,Europe,7,1050.45,5,0
Budget Hunter,Email Referral,Europe,23,312.18,5,0
Regular Consumer,Organic/Direct,North America,24,962.26,5,0
Budget Hunter,Email Referral,Europe,5,304.62,4,0
Budget Hunter,Social Media,Europe,5,402.03,3,0
Regular Consumer,Email Referral,North America,17,1411.92,4,0
Budget Hunter,Paid Search,North America,30,238.36,4,0
High-Tier VIP,Social Media,Latin America,9,3491.51,5,0
Corporate/Bulk,Paid Search,Europe,6,9046.41,4,0
High-Tier VIP,Paid Search,Europe,25,4427.96,4,0
Budget Hunter,Paid Search,Latin America,19,202.72,5,0
Budget Hunter,Social Media,Asia-Pacific,16,273.1,2,0
High-Tier VIP,Organic/Direct,Europe,21,2941.22,5,0
Regular Consumer,Social Media,Asia-Pacific,2,1320.14,2,0
Corporate/Bulk,Paid Search,Asia-Pacific,10,10918.39,4,0
Corporate/Bulk,Organic/Direct,Europe,16,9727.99,3,0
High-Tier VIP,Social Media,Europe,37,3303.81,4,0
Budget Hunter,Social Media,North America,15,310.88,4,0
Regular Consumer,Organic/Direct,Latin America,13,1030.59,3,0
High-Tier VIP,Paid Search,Europe,13,6339.0,5,0
Budget Hunter,Paid Search,North America,32,437.24,4,0
Budget Hunter,Email Referral,Asia-Pacific,45,289.56,4,1
Regular Consumer,Paid Search,Europe,47,1249.56,2,0
High-Tier VIP,Social Media,North America,46,5562.23,5,0
Regular Consumer,Email Referral,Europe,8,992.7,2,0
Regular Consumer,Organic/Direct,Europe,43,774.87,3,0
Budget Hunter,Paid Search,Asia-Pacific,18,192.77,2,1
Regular Consumer,Paid Search,North America,36,1581.68,4,0
Corporate/Bulk,Paid Search,Asia-Pacific,26,10474.58,5,0
Budget Hunter,Social Media,Europe,10,375.49,3,1
Regular Consumer,Social Media,North America,31,1027.73,3,0
High-Tier VIP,Paid Search,Latin America,33,3073.61,5,0
Regular Consumer,Email Referral,Europe,29,875.61,4,0
Regular Consumer,Social Media,North America,5,797.69,4,0
Regular Consumer,Paid Search,Europe,13,1455.0,3,0
Budget Hunter,Social Media,Asia-Pacific,1,480.6,4,1
Budget Hunter,Organic/Direct,North America,23,353.26,3,1
High-Tier VIP,Paid Search,North America,40,2792.48,5,0
High-Tier VIP,Paid Search,North America,3,5058.66,4,0
High-Tier VIP,Organic/Direct,North America,3,5923.11,4,0
High-Tier VIP,Social Media,Asia-Pacific,7,5593.13,2,0
Regular Consumer,Social Media,Europe,36,1191.26,3,0
Regular Consumer,Social Media,North America,35,1129.66,2,0
Regular Consumer,Paid Search,North America,15,1188.85,3,0
Regular Consumer,Paid Search,North America,40,1567.57,3,0
Regular Consumer,Social Media,Latin America,3,1428.11,4,1
Regular Consumer,Paid Search,North America,29,1084.27,2,1
High-Tier VIP,Paid Search,Latin America,30,4037.72,4,1
Budget Hunter,Organic/Direct,Europe,39,307.85,1,1
Budget Hunter,Email Referral,North America,18,256.84,3,1
Budget Hunter,Organic/Direct,Asia-Pacific,11,468.29,4,1
Regular Consumer,Email Referral,Europe,43,963.65,4,0
Budget Hunter,Paid Search,Asia-Pacific,38,392.9,4,0
Regular Consumer,Email Referral,Latin America,40,1001.57,1,1
Regular Consumer,Paid Search,North America,1,1056.83,4,0
Budget Hunter,Email Referral,North America,29,340.04,4,1
Regular Consumer,Email Referral,Asia-Pacific,10,1363.57,3,0
Budget Hunter,Organic/Direct,North America,28,327.32,4,0
Budget Hunter,Email Referral,North America,31,250.32,4,0
High-Tier VIP,Social Media,North America,19,4521.47,2,1
Budget Hunter,Paid Search,North America,3,282.92,5,0
Budget Hunter,Social Media,Asia-Pacific,36,485.09,4,0
Regular Consumer,Social Media,North America,43,1122.02,1,1
Regular Consumer,Paid Search,Europe,15,999.61,4,0
Budget Hunter,Social Media,Europe,33,522.8,2,1
Regular Consumer,Email Referral,Europe,41,1421.67,5,0
Budget Hunter,Paid Search,North America,43,271.53,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,45,280.8,2,0
Regular Consumer,Email Referral,North America,26,1342.25,1,0
Regular Consumer,Email Referral,Asia-Pacific,16,1213.04,1,0
Regular Consumer,Email Referral,Asia-Pacific,36,1467.05,4,0
Regular Consumer,Social Media,Europe,33,1001.2,4,0
Corporate/Bulk,Email Referral,Europe,20,12928.05,2,0
Regular Consumer,Organic/Direct,Europe,13,528.51,3,1
Budget Hunter,Paid Search,North America,33,336.49,3,0
Regular Consumer,Social Media,Asia-Pacific,5,1014.85,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,37,310.18,3,0
Regular Consumer,Paid Search,North America,14,1169.14,4,0
Budget Hunter,Social Media,Europe,27,449.62,4,0
Budget Hunter,Organic/Direct,Latin America,23,249.02,5,0
Corporate/Bulk,Paid Search,Latin America,14,4982.88,5,0
High-Tier VIP,Social Media,Europe,40,3332.19,4,0
Regular Consumer,Organic/Direct,Europe,4,1506.73,4,0
Regular Consumer,Social Media,North America,39,706.5,5,0
Budget Hunter,Paid Search,Latin America,19,299.95,2,0
Budget Hunter,Paid Search,North America,47,423.46,1,0
Budget Hunter,Social Media,Europe,4,344.89,1,1
Regular Consumer,Email Referral,North America,30,1538.61,4,0
Regular Consumer,Paid Search,North America,19,589.53,4,0
Regular Consumer,Social Media,Europe,31,1103.52,3,0
Budget Hunter,Paid Search,Latin America,31,467.0,4,0
Corporate/Bulk,Paid Search,North America,9,7901.08,4,1
Regular Consumer,Organic/Direct,Europe,13,1510.44,2,0
Regular Consumer,Organic/Direct,North America,14,1129.29,3,0
Regular Consumer,Paid Search,North America,46,1330.24,1,0
Regular Consumer,Social Media,Europe,10,1579.4,2,1
Budget Hunter,Paid Search,Europe,31,387.61,5,0
Budget Hunter,Social Media,North America,37,298.27,5,0
Regular Consumer,Organic/Direct,North America,23,1368.62,5,0
Budget Hunter,Paid Search,North America,27,292.09,4,0
Budget Hunter,Paid Search,North America,6,373.92,4,0
Budget Hunter,Social Media,Latin America,26,240.46,4,0
Budget Hunter,Email Referral,Latin America,2,352.55,4,0
High-Tier VIP,Email Referral,North America,45,5837.95,4,0
Regular Consumer,Paid Search,Europe,13,1110.37,4,0
Regular Consumer,Organic/Direct,Latin America,19,1528.11,3,1
Budget Hunter,Social Media,North America,1,620.68,4,0
Regular Consumer,Social Media,Asia-Pacific,40,1191.32,3,0
Regular Consumer,Organic/Direct,Latin America,32,1384.26,4,0
Budget Hunter,Email Referral,North America,22,391.73,4,0
Regular Consumer,Email Referral,North America,29,1267.53,3,0
Regular Consumer,Social Media,Latin America,2,1436.37,5,0
Regular Consumer,Social Media,Europe,40,1125.57,3,1
Regular Consumer,Organic/Direct,North America,38,1001.24,3,0
Budget Hunter,Paid Search,North America,11,216.45,2,0
Budget Hunter,Social Media,Europe,17,320.01,5,0
Regular Consumer,Social Media,Europe,43,1470.43,4,0
Regular Consumer,Organic/Direct,Asia-Pacific,8,918.06,4,0
High-Tier VIP,Paid Search,Latin America,22,4777.51,5,0
Regular Consumer,Paid Search,North America,4,1163.07,3,1
Budget Hunter,Email Referral,Europe,11,295.69,3,0
Budget Hunter,Paid Search,Europe,8,187.86,3,0
Regular Consumer,Social Media,Europe,9,1608.86,4,1
Budget Hunter,Paid Search,North America,26,395.25,4,0
Regular Consumer,Paid Search,Latin America,2,1999.59,3,1
High-Tier VIP,Paid Search,Asia-Pacific,16,5714.34,2,1
Regular Consumer,Paid Search,Europe,31,1602.16,2,0
Regular Consumer,Email Referral,Europe,6,675.19,4,0
Regular Consumer,Paid Search,North America,21,669.95,1,1
Regular Consumer,Email Referral,Europe,26,1212.69,1,0
Regular Consumer,Social Media,Europe,19,855.57,3,1
High-Tier VIP,Social Media,Europe,28,3733.55,4,0
Regular Consumer,Social Media,Latin America,8,1957.88,4,0
Corporate/Bulk,Social Media,Europe,14,14272.16,4,0
High-Tier VIP,Organic/Direct,North America,24,3447.39,4,0
Budget Hunter,Paid Search,Asia-Pacific,44,142.96,4,0
Budget Hunter,Social Media,North America,37,260.76,5,0
Budget Hunter,Email Referral,North America,26,301.25,2,1
Budget Hunter,Email Referral,North America,31,321.89,4,0
Budget Hunter,Email Referral,Europe,32,238.08,4,0
Regular Consumer,Social Media,Asia-Pacific,41,1538.96,3,0
Budget Hunter,Organic/Direct,Europe,2,287.75,4,0
Budget Hunter,Social Media,Asia-Pacific,25,406.75,3,1
High-Tier VIP,Social Media,Europe,44,4560.62,3,0
Budget Hunter,Paid Search,North America,2,432.12,3,1
High-Tier VIP,Social Media,Asia-Pacific,42,4232.34,3,0
Budget Hunter,Paid Search,North America,1,269.06,4,1
Budget Hunter,Paid Search,North America,36,297.62,4,0
Regular Consumer,Email Referral,Europe,12,1024.65,4,0
Regular Consumer,Paid Search,North America,9,1819.37,4,0
High-Tier VIP,Paid Search,North America,36,4586.07,2,1
Regular Consumer,Paid Search,Europe,41,1201.39,4,0
High-Tier VIP,Email Referral,Europe,28,5492.28,5,0
Budget Hunter,Social Media,Europe,38,349.99,2,0
Budget Hunter,Social Media,Latin America,33,448.15,4,0
Regular Consumer,Organic/Direct,Europe,42,1088.38,4,0
High-Tier VIP,Organic/Direct,Asia-Pacific,46,3967.16,4,0
Corporate/Bulk,Paid Search,North America,22,8304.25,2,1
Regular Consumer,Organic/Direct,Europe,25,1755.01,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,18,343.89,4,0
Regular Consumer,Organic/Direct,Europe,6,847.79,5,0
Budget Hunter,Paid Search,Asia-Pacific,18,367.22,2,0
High-Tier VIP,Email Referral,North America,16,3768.69,5,1
High-Tier VIP,Social Media,North America,15,4061.7,3,0
Regular Consumer,Paid Search,Europe,8,1293.23,3,0
Regular Consumer,Social Media,North America,13,1656.3,4,0
Regular Consumer,Paid Search,Asia-Pacific,43,1230.48,4,0
Budget Hunter,Paid Search,North America,7,287.78,3,1
High-Tier VIP,Organic/Direct,Latin America,17,3931.97,3,1
Regular Consumer,Paid Search,Latin America,32,1396.93,5,0
High-Tier VIP,Social Media,North America,22,2296.87,5,0
Budget Hunter,Social Media,North America,13,258.77,3,1
High-Tier VIP,Paid Search,Asia-Pacific,47,4739.23,2,0
Regular Consumer,Email Referral,Latin America,23,688.0,4,0
Budget Hunter,Paid Search,Europe,29,322.65,4,0
High-Tier VIP,Paid Search,North America,22,3961.95,2,0
Budget Hunter,Paid Search,Europe,1,426.78,5,0
Budget Hunter,Paid Search,Europe,29,328.1,2,1
Corporate/Bulk,Paid Search,North America,5,14263.4,4,0
Corporate/Bulk,Organic/Direct,Asia-Pacific,35,11216.9,4,0
Regular Consumer,Email Referral,North America,10,1732.94,4,0
Regular Consumer,Paid Search,North America,19,783.75,3,0
Regular Consumer,Organic/Direct,North America,37,1685.14,4,1
Budget Hunter,Organic/Direct,North America,7,314.03,5,0
Budget Hunter,Organic/Direct,North America,46,478.97,4,0
Regular Consumer,Social Media,Europe,35,1555.57,4,0
Regular Consumer,Paid Search,North America,45,344.43,3,0
Regular Consumer,Paid Search,North America,13,1343.75,5,1
Regular Consumer,Organic/Direct,North America,10,1499.29,5,0
Budget Hunter,Organic/Direct,Latin America,2,466.25,4,1
Regular Consumer,Paid Search,Europe,6,847.01,4,0
Budget Hunter,Social Media,Europe,8,401.66,5,1
Regular Consumer,Email Referral,Europe,36,1258.52,2,1
Regular Consumer,Organic/Direct,Latin America,25,1329.42,4,0
High-Tier VIP,Email Referral,North America,44,5623.8,4,0
Budget Hunter,Organic/Direct,Europe,47,451.21,4,0
Budget Hunter,Social Media,Asia-Pacific,40,292.62,5,0
Budget Hunter,Social Media,Europe,7,373.22,4,0
Regular Consumer,Organic/Direct,North America,46,1212.34,2,1
Regular Consumer,Paid Search,Europe,23,1128.19,3,0
Budget Hunter,Social Media,North America,19,337.42,3,0
Budget Hunter,Organic/Direct,Europe,46,367.15,4,0
Regular Consumer,Paid Search,Asia-Pacific,22,1019.41,3,0
Budget Hunter,Organic/Direct,North America,13,427.27,2,0
High-Tier VIP,Social Media,Asia-Pacific,21,5927.97,4,0
Regular Consumer,Email Referral,North America,1,953.83,5,0
Budget Hunter,Paid Search,Asia-Pacific,19,465.35,5,0
Budget Hunter,Paid Search,Europe,33,278.36,5,0
Corporate/Bulk,Social Media,North America,4,13468.91,4,0
Budget Hunter,Paid Search,North America,42,465.19,2,0
Budget Hunter,Organic/Direct,Latin America,3,341.73,5,0
High-Tier VIP,Organic/Direct,North America,27,3588.19,3,0
High-Tier VIP,Paid Search,North America,41,3837.73,4,0
Corporate/Bulk,Social Media,North America,35,11995.11,4,0
Regular Consumer,Social Media,Europe,28,1789.4,5,0
Budget Hunter,Social Media,Europe,6,201.89,4,1
Budget Hunter,Email Referral,North America,6,358.77,2,1
Regular Consumer,Organic/Direct,North America,44,1173.58,4,0
Regular Consumer,Organic/Direct,North America,23,1063.04,2,1
Regular Consumer,Organic/Direct,North America,33,1175.77,5,0
High-Tier VIP,Social Media,Europe,16,3890.03,4,0
Budget Hunter,Email Referral,Asia-Pacific,24,458.78,4,0
Regular Consumer,Organic/Direct,North America,5,1602.75,5,0
Budget Hunter,Organic/Direct,North America,41,357.71,4,0
Regular Consumer,Email Referral,North America,42,1157.66,3,0
Budget Hunter,Paid Search,Latin America,13,306.86,3,0
Budget Hunter,Organic/Direct,Latin America,47,357.9,4,0
Budget Hunter,Paid Search,Asia-Pacific,12,511.69,5,0
Regular Consumer,Paid Search,North America,5,1168.88,4,0
Regular Consumer,Paid Search,North America,37,948.17,5,0
Regular Consumer,Email Referral,North America,31,1080.67,2,0
Corporate/Bulk,Email Referral,North America,28,13072.04,3,0
Budget Hunter,Organic/Direct,Europe,28,287.2,2,0
Budget Hunter,Organic/Direct,Asia-Pacific,30,347.05,4,1
High-Tier VIP,Social Media,Asia-Pacific,18,5031.99,2,0
Budget Hunter,Email Referral,Asia-Pacific,44,293.84,2,0
Corporate/Bulk,Social Media,North America,27,6147.88,4,0
