CustomerID,Age,Gender,AnnualIncome,TenureMonths,PurchaseFrequency,AvgOrderValue,Churn
CUST-10062,52.0,Female,42837.25,49,5,142.01,0
CUST-10063,31.0,Female,55614.74,62,1,100.51,0
CUST-10064,34.0,Male,35429.57,38,6,69.99,1
CUST-10065,53.0,Female,35455.15,23,11,44.17,1
CUST-10066,,Female,67228.72,22,5,55.05,1
CUST-10067,57.0,Female,34321.71,4,5,67.0,0
CUST-10068,21.0,Female,66993.63,49,9,143.4,0
CUST-10069,19.0,Female,63326.64,59,3,146.64,0
CUST-10070,23.0,Male,23935.48,68,6,225.86,1
CUST-10071,59.0,Female,42803.84,71,7,94.78,1
CUST-10072,21.0,Male,76493.97,2,5,79.11,1
CUST-10073,46.0,Male,37339.02,49,4,113.6,0
CUST-10074,35.0,Male,46640.72,31,8,74.56,0
CUST-10075,43.0,Male,63317.1,40,10,63.68,0
CUST-10076,61.0,Male,,48,4,60.96,0
CUST-10077,51.0,Male,50472.3,51,8,150.84,1
CUST-10078,27.0,Other,44244.82,43,9,38.64,0
CUST-10079,53.0,Female,80602.66,55,7,101.12,0
CUST-10080,31.0,Other,86300.19,49,9,117.6,0
CUST-10081,48.0,Male,72619.44,57,5,73.94,0
CUST-10082,65.0,Male,56535.73,15,5,123.51,0
CUST-10083,32.0,Female,40451.22,27,3,176.32,0
CUST-10084,25.0,Male,40052.0,68,3,60.7,1
CUST-10085,31.0,Male,64405.25,64,9,92.79,0
CUST-10086,40.0,Female,62531.17,30,5,67.75,0
CUST-10087,57.0,Male,80228.77,36,9,59.98,0
CUST-10088,38.0,Female,66708.1,67,7,141.48,0
CUST-10089,33.0,Female,27944.55,49,10,91.43,1
CUST-10090,62.0,Male,,55,4,171.8,0
CUST-10091,35.0,Male,37034.91,56,5,36.05,0
CUST-10092,64.0,Female,48088.52,68,2,84.96,1
CUST-10093,41.0,Male,59503.6,44,8,70.94,0
CUST-10094,43.0,Male,90922.01,31,7,36.52,0
CUST-10095,42.0,,110978.53,58,9,109.44,0
CUST-10096,62.0,Male,65921.02,53,6,88.11,0
CUST-10097,58.0,Female,51702.46,23,6,105.07,0
CUST-10098,46.0,,64621.1,28,7,66.12,0
CUST-10099,32.0,Male,70977.8,16,7,131.32,1
CUST-10100,62.0,Male,49227.98,37,6,213.0,0
CUST-10101,18.0,Male,,21,3,98.08,1
CUST-10102,42.0,Male,59141.27,17,3,80.14,0
CUST-10103,,Male,63959.38,37,7,95.42,0
CUST-10104,26.0,Female,66986.64,19,4,103.76,1
CUST-10105,41.0,Male,62588.56,30,2,39.0,1
CUST-10106,18.0,Female,70100.93,45,9,125.97,0
CUST-10107,61.0,,43889.44,18,2,85.69,1
CUST-10108,25.0,Female,44950.57,62,8,117.01,0
CUST-10109,41.0,Female,35197.22,36,6,137.96,1
CUST-10110,28.0,Male,62911.02,52,6,233.32,0
CUST-10111,68.0,Female,69020.86,19,3,102.58,0
CUST-10112,34.0,Female,63239.91,44,7,90.13,0
CUST-10113,25.0,Male,85140.86,7,4,72.51,1
CUST-10114,52.0,Male,54899.27,44,5,78.28,1
CUST-10115,52.0,Female,67037.35,68,4,133.49,0
CUST-10116,50.0,Male,35349.38,34,9,52.19,0
CUST-10117,22.0,Male,48032.21,66,7,130.67,0
CUST-10118,59.0,Male,67519.68,69,3,100.02,0
CUST-10119,56.0,Male,70283.84,55,6,122.69,0
CUST-10120,58.0,Female,49708.59,10,6,111.78,0
CUST-10121,45.0,Female,53711.21,42,2,135.02,1
CUST-10122,24.0,Female,27678.27,41,8,106.74,1
CUST-10123,26.0,Male,48573.47,69,7,114.18,0
CUST-10124,25.0,Male,71026.9,10,8,106.72,0
CUST-10125,29.0,Female,65353.69,10,7,134.08,0
CUST-10126,51.0,Male,64011.98,60,8,76.26,0
CUST-10127,50.0,Male,55895.93,51,6,59.86,0
CUST-10128,65.0,Female,55127.14,21,5,291.27,1
CUST-10129,40.0,Male,43114.22,8,8,127.05,0
CUST-10130,41.0,Female,67578.91,65,7,127.08,0
CUST-10131,54.0,Male,62577.51,30,7,79.69,1
CUST-10132,52.0,Male,,49,2,267.67,0
CUST-10133,,Male,45531.37,9,10,49.88,0
CUST-10134,,Other,16239.83,17,5,53.67,0
CUST-10135,39.0,Female,74748.75,69,5,79.93,1
CUST-10136,44.0,Other,46380.93,58,6,88.63,1
CUST-10137,52.0,Female,,57,11,132.34,0
CUST-10138,,Male,67482.62,62,5,133.92,0
CUST-10139,52.0,Female,47943.77,52,5,51.1,0
CUST-10140,54.0,Male,74078.85,61,1,87.19,0
CUST-10141,64.0,Female,,40,6,90.0,0
CUST-10142,31.0,Male,67304.25,38,10,113.66,0
CUST-10143,,Female,30412.8,43,11,147.93,0
CUST-10144,18.0,Male,76814.99,63,5,52.41,0
CUST-10145,22.0,Male,59702.51,19,2,74.87,0
CUST-10146,43.0,Female,,50,7,32.7,0
CUST-10147,31.0,Male,57580.99,33,6,113.76,1
CUST-10148,56.0,Male,23027.77,13,4,100.35,0
CUST-10149,44.0,Male,62355.75,62,9,88.98,0
CUST-10150,26.0,Male,36471.31,43,6,138.89,0
CUST-10151,32.0,Female,30651.93,49,1,151.94,1
CUST-10152,32.0,Female,27597.53,36,6,148.05,0
CUST-10153,43.0,Other,75028.39,10,5,53.43,0
CUST-10154,59.0,Female,43673.26,6,6,76.07,1
CUST-10155,30.0,Male,82607.1,57,4,101.61,0
CUST-10156,68.0,Female,45355.57,1,9,82.2,1
CUST-10157,49.0,Male,24267.56,71,4,177.4,0
CUST-10158,56.0,Male,34902.56,58,4,148.98,0
CUST-10159,66.0,Female,77244.61,21,7,87.17,0
CUST-10160,69.0,Male,52193.83,56,3,81.42,0
CUST-10161,49.0,Female,45130.83,20,7,62.05,1
CUST-10162,21.0,Male,,54,5,123.13,0
CUST-10163,47.0,Female,64032.09,25,6,129.49,0
CUST-10164,54.0,Female,75113.18,28,6,46.08,0
CUST-10165,40.0,Female,81072.99,5,9,43.1,0
CUST-10166,56.0,Female,,21,6,53.5,0
CUST-10167,62.0,Female,31131.14,18,7,164.46,1
CUST-10168,32.0,Male,47557.63,47,9,146.74,0
CUST-10169,60.0,Female,59685.05,70,5,102.59,1
CUST-10170,46.0,Male,37652.34,57,3,105.57,1
CUST-10171,53.0,Female,37771.28,19,11,44.09,0
CUST-10172,30.0,Female,61188.18,65,9,205.8,0
CUST-10173,49.0,Female,54124.26,3,6,161.07,0
CUST-10174,24.0,Male,55590.35,42,14,86.57,1
CUST-10175,68.0,Male,41347.08,21,6,220.75,0
CUST-10176,39.0,Female,50852.79,40,4,111.53,0
CUST-10177,45.0,Male,38363.8,67,10,76.04,0
CUST-10178,19.0,Male,71023.57,25,8,90.19,0
CUST-10179,59.0,Male,73634.49,55,4,53.99,0
CUST-10180,62.0,Other,21768.62,52,5,92.17,0
CUST-10181,23.0,Female,38268.8,44,9,63.81,0
CUST-10182,45.0,Male,28062.47,56,9,1300.0,0
CUST-10183,45.0,Male,43299.57,55,7,130.44,0
CUST-10184,61.0,Male,53498.12,70,11,57.89,0
CUST-10185,61.0,Female,28906.39,66,6,72.12,0
CUST-10186,37.0,Female,38406.52,19,7,30.99,0
CUST-10187,47.0,Male,,7,4,62.72,1
CUST-10188,28.0,Male,58730.81,63,6,143.52,1
CUST-10189,45.0,Male,56248.2,42,5,136.38,0
CUST-10190,42.0,Female,42008.72,42,7,89.31,0
CUST-10191,56.0,Female,58182.78,59,7,107.83,0
CUST-10192,50.0,Male,45159.76,20,6,38.36,0
CUST-10193,18.0,Male,50110.21,17,11,60.43,0
CUST-10194,44.0,Male,85122.14,27,7,54.8,1
CUST-10195,69.0,Other,,47,7,128.39,0
CUST-10196,30.0,Male,31607.54,2,6,66.95,1
CUST-10197,58.0,Female,69935.18,63,5,84.82,0
CUST-10198,20.0,Female,69605.14,62,2,166.31,0
CUST-10199,56.0,Male,34331.26,19,4,65.66,1
CUST-10200,23.0,Male,69738.0,17,4,43.92,0
CUST-10201,25.0,Male,,69,5,32.02,0
CUST-10202,44.0,Female,34794.19,39,8,151.08,0
CUST-10203,26.0,Female,38484.95,71,6,59.86,0
CUST-10204,54.0,Female,73317.91,39,5,184.07,1
CUST-10205,50.0,Female,59886.92,36,10,86.52,0
CUST-10206,68.0,Male,64926.57,40,1,50.79,1
CUST-10207,59.0,Other,61130.61,45,13,118.8,0
CUST-10208,61.0,Female,62032.53,4,9,118.82,1
CUST-10209,41.0,Male,31123.5,25,9,137.88,0
CUST-10210,32.0,Other,73851.72,69,6,63.89,0
CUST-10211,49.0,Female,76052.62,30,7,72.6,0
CUST-10212,49.0,Female,50870.97,68,8,63.06,0
CUST-10213,41.0,Female,54217.41,29,10,114.28,0
CUST-10214,58.0,Female,27440.06,68,3,70.47,0
CUST-10215,69.0,Female,64256.59,51,8,106.09,1
CUST-10216,66.0,Male,65297.03,24,6,45.3,0
CUST-10217,66.0,Male,53880.56,14,6,106.37,0
CUST-10218,69.0,Female,75238.36,69,4,102.71,0
CUST-10219,29.0,Male,48986.61,18,6,63.38,0
CUST-10220,56.0,Male,65162.91,42,6,102.36,1
CUST-10221,19.0,Male,36646.04,57,5,44.71,0
CUST-10222,20.0,Male,54576.06,12,9,74.12,0
CUST-10223,66.0,Female,51861.62,17,7,55.7,0
CUST-10224,54.0,Female,59055.54,30,5,98.84,1
CUST-10225,66.0,Male,48348.52,23,7,78.33,0
CUST-10226,34.0,Male,52633.49,1,8,123.88,0
CUST-10227,66.0,Male,69868.85,32,5,59.38,1
CUST-10228,19.0,Female,47138.24,9,4,69.35,0
CUST-10229,,Female,26081.61,15,5,51.32,1
CUST-10230,45.0,Male,86492.51,28,9,189.81,0
CUST-10231,40.0,Female,79866.17,24,8,25.74,0
CUST-10232,54.0,Female,31739.27,60,6,163.51,0
CUST-10233,49.0,Female,67414.74,35,5,166.85,0
CUST-10234,50.0,Female,45946.45,27,1,76.76,1
CUST-10235,18.0,Male,59742.77,20,3,66.32,0
CUST-10236,36.0,Female,60296.03,65,7,88.08,0
CUST-10237,19.0,Male,50780.66,49,10,56.42,0
CUST-10238,61.0,Female,40892.22,1,6,77.27,1
CUST-10239,43.0,Female,,10,3,140.87,0
CUST-10240,49.0,Female,38508.55,47,6,40.42,0
CUST-10241,23.0,Female,,59,5,120.33,0
CUST-10242,49.0,Male,,62,5,85.75,0
CUST-10243,21.0,Female,42116.32,18,9,222.18,0
CUST-10244,28.0,,67276.94,46,6,92.71,0
CUST-10245,34.0,Female,81770.43,32,7,60.2,0
CUST-10246,55.0,Male,44559.04,27,8,74.57,0
CUST-10247,41.0,Male,59309.28,18,4,76.81,0
CUST-10248,22.0,Male,63994.33,39,4,163.23,1
CUST-10249,69.0,Female,63496.04,49,5,88.63,1
CUST-10250,51.0,Female,56367.19,44,11,101.02,0
CUST-10251,23.0,Male,68368.28,54,4,76.64,1
CUST-10252,39.0,Female,63680.48,34,6,56.62,0
CUST-10253,,Female,32722.08,71,9,41.71,0
CUST-10254,,Female,70644.81,36,3,168.51,1
CUST-10255,33.0,Female,70971.24,18,8,103.07,0
CUST-10256,50.0,Female,41260.85,38,4,77.98,0
CUST-10257,26.0,Female,,59,7,92.25,0
CUST-10258,23.0,Male,67299.92,9,5,96.7,1
CUST-10259,33.0,Female,51232.35,51,6,131.87,0
CUST-10260,46.0,Female,74313.6,35,7,54.43,0
CUST-10261,20.0,Female,97549.7,5,7,850.0,0
CUST-10262,,Female,40852.25,14,6,74.63,0
CUST-10263,53.0,Female,30141.2,30,5,100.88,0
CUST-10264,36.0,Male,60468.73,4,2,50.03,1
CUST-10265,43.0,Male,67988.13,39,6,49.51,0
CUST-10266,20.0,Male,50844.41,64,2,49.35,0
CUST-10267,36.0,Male,81158.69,25,6,35.93,1
CUST-10268,37.0,Female,30905.1,28,1,106.85,1
CUST-10269,49.0,,67472.54,66,13,89.71,0
CUST-10270,24.0,Male,44094.51,22,7,79.57,1
CUST-10271,69.0,Male,85948.8,31,6,52.62,0
CUST-10272,58.0,Female,90865.28,23,5,171.78,1
CUST-10273,50.0,Male,41200.18,48,3,30.42,1
CUST-10274,57.0,Female,45107.97,20,7,121.38,0
CUST-10275,56.0,Female,70472.58,38,7,52.32,0
CUST-10276,35.0,Female,,55,3,117.18,1
CUST-10277,57.0,Male,54182.6,68,4,150.91,0
CUST-10278,18.0,Male,55456.99,1,7,64.89,1
CUST-10279,28.0,Female,,7,4,45.99,0
CUST-10280,45.0,Female,54750.92,57,3,49.98,0
CUST-10281,42.0,Male,42584.9,12,10,90.98,0
CUST-10282,67.0,Female,46123.79,5,6,91.05,0
CUST-10283,40.0,Male,80985.38,50,8,62.33,0
CUST-10284,48.0,Female,32382.88,42,8,218.27,0
CUST-10285,47.0,Male,69637.69,12,2,111.82,0
CUST-10286,59.0,Other,49978.67,18,8,61.18,0
CUST-10287,52.0,Male,,66,4,119.22,0
CUST-10288,24.0,Male,69226.69,17,5,48.87,0
CUST-10289,33.0,Male,61120.92,68,2,211.57,0
CUST-10290,43.0,Male,65271.03,71,5,82.7,0
CUST-10291,65.0,Female,72427.32,62,12,71.64,0
CUST-10292,69.0,,,41,8,130.04,0
CUST-10293,,Male,43979.74,34,6,73.42,1
CUST-10294,19.0,Male,35467.29,70,5,111.66,0
CUST-10295,18.0,Female,40142.61,45,9,131.26,0
CUST-10296,65.0,Female,108083.7,58,8,73.03,0
CUST-10297,29.0,Female,77404.23,51,4,129.51,0
CUST-10298,22.0,Male,30680.66,34,10,87.65,0
CUST-10299,54.0,Male,31195.76,44,7,113.77,0
CUST-10300,49.0,Female,63673.59,15,3,103.03,0
CUST-10301,26.0,Male,64850.77,70,6,170.93,0
CUST-10302,58.0,Female,64879.91,50,3,45.27,0
CUST-10303,,Male,50410.8,32,6,100.84,1
CUST-10304,36.0,Female,52741.82,67,12,52.35,0
CUST-10305,65.0,Male,60901.83,3,6,163.71,1
CUST-10306,33.0,Female,56546.07,51,1,74.37,0
CUST-10307,20.0,Female,15052.59,67,6,93.22,0
CUST-10308,37.0,Female,50863.61,48,5,55.47,1
CUST-10309,41.0,Male,39674.68,17,2,78.81,1
CUST-10310,50.0,Female,58153.81,7,8,42.27,0
CUST-10311,41.0,Female,108734.66,13,3,27.7,0
CUST-10312,69.0,Female,61614.67,66,12,115.72,0
CUST-10313,28.0,Female,49356.47,4,5,78.05,0
CUST-10314,66.0,Female,71592.43,10,7,95.23,0
CUST-10315,25.0,Female,63688.38,17,6,88.62,1
CUST-10316,53.0,Male,62561.7,52,6,73.03,0
CUST-10317,55.0,Female,65923.31,6,10,118.5,0
CUST-10318,57.0,Female,92017.78,69,5,157.62,0
CUST-10319,37.0,Male,34644.01,9,7,53.56,1
CUST-10320,52.0,Male,63525.38,21,5,111.12,0
CUST-10321,65.0,Male,38325.14,24,6,89.8,0
CUST-10322,42.0,Female,64999.23,4,3,135.93,0
CUST-10323,52.0,Female,38463.64,24,6,39.69,1
CUST-10324,42.0,Female,47487.4,59,4,47.91,0
CUST-10325,46.0,Female,49688.38,3,3,90.33,1
CUST-10326,35.0,Male,72564.7,68,8,140.29,1
CUST-10327,63.0,Male,71532.18,40,10,137.58,0
CUST-10328,35.0,Male,32577.09,48,10,117.94,0
CUST-10329,19.0,Male,55988.81,54,12,93.19,0
CUST-10330,52.0,Male,42227.56,35,9,103.3,0
CUST-10331,33.0,Male,32346.91,56,7,83.21,0
CUST-10332,58.0,Female,51093.69,40,4,109.63,1
CUST-10333,53.0,Female,49447.31,68,2,103.66,1
CUST-10334,50.0,,98680.9,46,3,115.51,0
CUST-10335,21.0,Female,62793.28,13,8,162.29,0
CUST-10336,50.0,Female,30202.88,27,7,40.3,1
CUST-10337,31.0,Male,44834.07,6,3,63.63,0
CUST-10338,38.0,Female,73384.9,17,5,98.44,0
CUST-10339,65.0,Female,92591.97,36,14,99.55,0
CUST-10340,37.0,Male,26452.3,2,6,88.39,0
CUST-10341,25.0,Male,21161.36,52,8,87.68,1
CUST-10342,24.0,Female,88677.37,66,6,213.43,0
CUST-10343,20.0,Male,62013.06,52,4,114.26,0
CUST-10344,34.0,Female,39370.73,43,7,30.73,1
CUST-10345,50.0,Female,64623.32,22,8,58.09,0
CUST-10346,65.0,Male,15000.0,55,4,165.85,0
CUST-10347,29.0,Male,55060.76,67,5,45.6,1
CUST-10348,68.0,Male,60900.78,60,4,85.74,0
CUST-10349,39.0,Male,71636.86,58,6,140.52,1
CUST-10350,39.0,Male,36749.87,12,2,85.78,0
CUST-10351,63.0,Female,56542.37,69,5,140.1,0
CUST-10352,47.0,Male,,39,3,103.05,0
CUST-10353,55.0,Female,59596.91,13,5,108.28,1
CUST-10354,55.0,Male,38883.77,41,5,42.07,1
CUST-10355,62.0,Female,47654.18,57,3,81.55,0
CUST-10356,68.0,Male,37075.32,53,5,63.4,0
CUST-10357,25.0,Male,66720.45,12,6,106.16,0
CUST-10358,44.0,Female,,13,6,204.19,0
CUST-10359,44.0,Female,50776.83,57,8,120.67,0
CUST-10360,51.0,Male,55688.28,40,1,136.82,1
CUST-10361,38.0,Female,28925.35,45,5,67.76,1
CUST-10362,47.0,Male,49605.82,35,8,127.08,0
CUST-10363,50.0,Female,54096.32,3,9,44.33,0
CUST-10364,45.0,Male,102174.28,5,6,84.51,0
CUST-10365,64.0,Male,34984.59,11,9,133.19,1
CUST-10366,50.0,Female,81355.19,71,3,97.3,0
CUST-10367,22.0,Female,72943.46,56,6,132.36,0
CUST-10368,65.0,Male,60051.46,10,5,182.71,0
CUST-10369,36.0,Female,86655.17,34,5,118.4,0
CUST-10370,21.0,Female,61697.9,67,2,86.81,1
CUST-10371,52.0,Male,62004.87,31,3,67.6,0
CUST-10372,66.0,Female,54043.83,71,9,72.86,0
CUST-10373,34.0,Male,77024.24,66,6,88.59,0
CUST-10374,61.0,Female,74736.45,70,3,125.64,0
CUST-10375,45.0,Female,43737.81,41,7,145.46,0
CUST-10376,47.0,Other,31253.55,63,6,60.11,1
CUST-10377,46.0,Male,51346.35,32,5,91.1,0
CUST-10378,63.0,Male,40599.31,20,9,32.09,1
CUST-10379,23.0,Male,53856.56,57,6,57.36,0
CUST-10380,52.0,Male,77273.89,50,9,103.82,0
CUST-10381,58.0,Male,,25,9,137.34,0
CUST-10382,54.0,Female,54229.18,12,5,138.14,1
CUST-10383,41.0,Male,56044.41,71,7,206.42,1
CUST-10384,46.0,Male,70271.76,39,9,66.53,0
CUST-10385,66.0,Female,15000.0,17,6,68.2,1
CUST-10386,63.0,Male,44079.39,45,3,92.24,0
CUST-10387,48.0,Female,58803.11,11,3,85.14,1
CUST-10388,52.0,Male,76601.42,70,8,131.89,0
CUST-10389,50.0,Female,46145.76,23,8,93.46,0
CUST-10390,69.0,Male,21222.05,70,12,109.96,0
CUST-10391,38.0,Male,66154.81,38,7,94.06,0
CUST-10392,49.0,Female,43563.48,2,10,90.13,0
CUST-10393,40.0,Male,33586.0,37,6,55.66,1
CUST-10394,50.0,Female,43761.78,49,6,84.75,0
CUST-10395,20.0,Male,,52,5,73.45,1
CUST-10396,35.0,Male,44114.6,33,8,214.31,0
CUST-10397,42.0,Female,15299.81,22,5,197.45,1
CUST-10398,59.0,Male,71147.19,5,10,107.83,0
CUST-10399,48.0,Female,77947.75,18,10,107.51,0
CUST-10400,20.0,Other,66727.4,38,3,92.7,0
CUST-10401,57.0,Female,34521.66,37,5,94.65,0
CUST-10402,63.0,Female,,64,7,110.83,0
CUST-10403,41.0,Male,,10,5,148.98,0
CUST-10404,67.0,Male,65778.3,42,4,157.28,0
CUST-10405,49.0,Male,67030.13,48,5,91.82,0
CUST-10406,64.0,Female,,44,3,152.14,1
CUST-10407,39.0,,56475.92,16,4,42.41,1
CUST-10408,,Male,63231.05,54,9,44.96,0
CUST-10409,19.0,Female,81204.8,35,6,90.77,0
CUST-10410,44.0,Male,67681.12,28,7,54.49,1
CUST-10411,59.0,Female,69203.02,2,2,112.91,1
CUST-10412,19.0,Male,56508.88,13,8,115.56,1
CUST-10413,43.0,Other,80388.26,41,7,57.12,0
CUST-10414,34.0,Female,62375.73,59,3,235.23,0
CUST-10415,57.0,Male,39500.42,69,5,157.13,0
CUST-10416,50.0,Male,80260.66,53,3,67.51,1
CUST-10417,26.0,Male,67562.26,45,5,41.49,0
CUST-10418,60.0,Male,47025.21,20,9,76.18,1
CUST-10419,65.0,Male,46369.13,24,8,1100.0,0
CUST-10420,56.0,Female,60338.36,61,4,81.35,0
CUST-10421,46.0,Female,63337.33,58,17,26.25,0
CUST-10422,59.0,Female,58551.26,27,4,76.25,0
CUST-10423,43.0,Male,60603.56,26,2,190.76,0
CUST-10424,52.0,Female,85599.23,7,4,109.13,0
CUST-10425,67.0,Female,74287.78,42,10,56.18,0
CUST-10426,42.0,Male,58431.44,47,8,42.73,0
CUST-10427,41.0,Female,71943.59,53,8,38.57,0
CUST-10428,30.0,Female,36414.57,59,8,54.13,1
CUST-10429,24.0,Male,62162.69,38,7,57.79,0
CUST-10430,53.0,Male,87567.51,69,6,111.6,0
CUST-10431,62.0,Female,51075.17,53,5,47.3,1
CUST-10432,37.0,Male,39742.59,15,6,236.46,1
CUST-10433,18.0,Female,43262.4,26,7,60.71,0
CUST-10434,25.0,Female,35386.61,48,4,139.82,0
CUST-10435,63.0,Female,40874.29,19,5,221.39,1
CUST-10436,33.0,Male,48330.85,9,7,47.52,1
CUST-10437,31.0,Male,29699.79,64,4,141.22,0
CUST-10438,29.0,Female,55281.13,54,2,99.19,0
CUST-10439,68.0,Female,71240.99,51,3,55.44,0
CUST-10440,40.0,Male,38660.39,39,2,75.33,1
CUST-10441,32.0,Female,82347.11,4,6,102.54,0
CUST-10442,45.0,Female,,3,4,127.72,0
CUST-10443,51.0,Male,73550.45,64,6,90.65,0
CUST-10444,19.0,Male,43158.98,29,6,113.28,0
CUST-10445,49.0,Female,70381.45,11,5,162.86,1
CUST-10446,40.0,Male,35345.19,58,6,55.58,1
CUST-10447,39.0,Male,71024.46,27,5,115.64,0
CUST-10448,68.0,Male,58093.11,21,6,56.8,1
CUST-10449,42.0,Male,64958.52,39,7,130.47,1
CUST-10450,39.0,Female,33839.3,46,5,75.67,0
CUST-10451,39.0,Female,38888.74,66,3,126.03,0
CUST-10452,66.0,Male,65750.11,36,3,88.4,0
CUST-10453,69.0,Female,37929.74,65,7,71.35,0
CUST-10454,59.0,Female,63337.71,63,5,73.24,0
CUST-10455,23.0,Female,30391.52,35,5,24.33,0
CUST-10456,32.0,Male,70267.14,31,2,87.1,1
CUST-10457,60.0,Male,32814.58,28,5,113.57,0
CUST-10458,54.0,,64941.4,1,7,145.06,0
CUST-10459,50.0,Female,66261.36,25,7,153.89,0
CUST-10460,25.0,Male,42458.11,43,2,82.43,0
CUST-10461,61.0,Male,,67,4,154.76,0
CUST-10462,61.0,Male,59687.96,63,4,196.18,0
CUST-10463,22.0,Female,45300.85,51,6,48.08,0
CUST-10464,,Female,36846.02,2,9,69.61,0
CUST-10465,21.0,Female,,64,3,212.11,0
CUST-10466,23.0,Male,61293.7,69,6,133.14,0
CUST-10467,,Female,26833.55,9,5,80.15,0
CUST-10468,49.0,Female,56716.2,2,3,88.16,1
CUST-10469,69.0,Male,50257.93,34,3,140.02,1
CUST-10470,47.0,Female,67224.57,60,7,61.7,1
CUST-10471,64.0,Other,49563.18,61,3,89.4,0
CUST-10472,52.0,Male,49069.94,31,7,115.42,0
CUST-10473,57.0,Female,68173.67,10,7,104.66,1
CUST-10474,69.0,Male,61031.04,36,6,109.38,0
CUST-10475,33.0,Female,60690.81,49,11,42.13,0
CUST-10476,30.0,Female,63446.82,70,8,106.1,0
CUST-10477,67.0,Female,27359.7,49,7,60.97,1
CUST-10478,59.0,Female,68622.2,3,12,58.4,0
CUST-10479,47.0,Male,66024.44,5,3,154.5,0
CUST-10480,36.0,Female,36699.7,61,7,118.72,0
CUST-10481,34.0,Female,50606.55,26,6,79.09,1
CUST-10482,,Male,54292.47,5,4,101.4,1
CUST-10483,45.0,Female,52579.06,15,2,112.38,1
CUST-10484,43.0,Female,61009.48,16,6,111.38,0
CUST-10485,54.0,Male,80764.6,1,8,129.23,1
