Age,Gender,AnnualIncome,TenureMonths,PurchaseFrequency,AvgOrderValue,CSAT_Rating,Churn
24,Male,47988.37,2,7,75.43,4,1
61,Female,73935.64,62,6,66.29,1,0
25,Female,41263.76,3,3,52.27,4,1
64,Female,59480.72,46,3,60.09,2,0
52,Female,25111.31,68,5,100.01,3,0
31,Female,87753.51,25,8,70.69,4,0
34,Female,76717.93,51,9,152.75,4,0
53,Female,104501.93,13,4,105.1,1,0
67,Female,79090.55,44,5,30.73,3,0
57,Female,34666.3,35,6,63.09,1,1
21,Female,67035.7,55,10,52.51,4,0
19,Female,38475.84,9,8,37.54,5,0
23,Male,83404.68,2,5,43.86,4,1
59,Male,35179.47,61,6,87.56,2,0
21,Male,34315.21,41,4,160.34,3,0
46,Female,26023.39,44,5,83.04,5,0
35,Female,46209.16,64,7,149.56,2,0
43,Female,42589.4,31,3,69.53,4,0
61,Male,32290.32,47,9,95.04,3,0
51,Female,90816.56,2,6,147.38,4,0
27,Male,64537.85,69,5,60.75,5,0
53,Male,62420.22,58,8,98.41,3,0
31,Female,83604.96,44,7,193.54,4,0
48,Female,59612.64,56,8,109.17,4,0
65,Male,41523.76,43,5,242.77,3,0
32,Male,24396.22,34,4,93.56,3,0
25,Male,40508.97,30,9,105.75,4,0
31,Male,82097.48,71,7,110.44,2,0
40,Female,32403.95,70,4,49.84,4,0
57,Male,61356.29,55,6,90.26,1,0
38,Female,73610.65,67,7,58.86,2,0
33,Female,60136.21,13,4,98.1,3,0
62,Male,62181.7,3,7,51.17,2,1
35,Male,66800.87,26,3,56.39,3,0
64,Male,61827.06,57,4,109.75,3,0
41,Male,83963.34,24,7,130.04,4,0
43,Male,36274.75,53,5,112.58,5,0
42,Female,59327.65,70,6,111.86,4,0
62,Male,22271.67,43,3,137.88,2,0
58,Unknown,17672.57,60,4,97.64,5,0
46,Male,53529.92,58,6,61.03,3,0
32,Female,64780.83,49,6,196.84,3,0
62,Female,84352.02,42,5,73.07,3,0
18,Female,98556.25,66,6,64.73,3,0
42,Female,78757.49,11,9,50.11,5,0
24,Female,68088.98,18,7,128.95,3,0
26,Female,57879.37,52,4,70.75,4,0
41,Female,27437.89,46,6,185.05,3,0
18,Female,52371.34,44,6,75.69,4,0
61,Male,78226.78,22,7,51.64,4,0
25,Male,71169.07,53,4,85.24,3,0
41,Female,31845.99,59,5,102.02,4,0
28,Female,66052.46,30,5,77.92,4,0
68,Female,64511.07,8,5,91.66,4,0
34,Female,61298.02,57,3,139.41,4,0
25,Unknown,54498.6,20,7,147.5,4,0
52,Male,66980.51,25,5,129.7,2,0
52,Male,67551.63,19,12,102.83,4,0
50,Male,43453.74,5,5,78.86,3,1
22,Male,63190.25,27,6,119.42,3,0
59,Female,51590.89,40,3,124.15,5,0
56,Male,28229.79,26,4,219.56,1,1
58,Female,44891.07,27,6,137.6,3,0
45,Male,26853.59,62,6,107.75,2,0
24,Female,72641.68,50,7,145.49,1,0
26,Female,61406.01,42,5,153.05,3,0
25,Male,48601.17,29,13,146.97,5,0
29,Female,80569.38,39,1,42.06,3,0
51,Male,56223.84,60,6,76.57,4,0
50,Male,29237.99,41,4,91.21,2,1
65,Male,47089.39,33,3,117.03,4,0
40,Male,84391.38,16,4,53.31,5,0
41,Male,42949.44,23,3,131.6,3,0
54,Female,59953.98,7,4,85.81,5,0
52,Female,68389.78,26,6,103.68,5,0
61,Female,65619.07,12,6,81.98,4,0
57,Male,99090.28,5,10,80.03,3,0
39,Female,33826.54,69,6,40.71,4,0
44,Male,35623.66,49,6,131.33,5,0
52,Male,34124.42,26,3,49.93,2,0
18,Female,49673.47,5,7,30.77,3,0
52,Male,74788.79,22,5,47.46,3,0
54,Female,36428.78,13,7,35.27,3,1
64,Female,75040.49,28,3,202.85,5,0
31,Male,55632.28,33,8,75.97,3,0
20,Male,35038.06,23,8,162.92,3,0
18,Male,23475.34,18,6,68.82,4,1
22,Female,27503.73,30,8,118.56,2,0
43,Male,43014.64,26,8,156.34,2,1
31,Male,51955.28,16,6,99.58,4,0
56,Male,79229.13,39,12,136.01,3,0
44,Female,69383.59,33,5,122.34,3,0
26,Male,39899.06,26,4,188.77,1,1
32,Male,62355.98,48,10,166.32,4,0
32,Female,84727.83,65,10,107.05,4,0
43,Female,88730.51,38,7,139.39,5,0
59,Male,49340.69,2,6,60.72,3,0
30,Male,72249.19,6,1,68.76,4,1
68,Male,80019.2,46,4,139.64,5,0
49,Female,27872.71,50,7,169.72,3,1
56,Male,45776.67,38,9,99.45,5,0
66,Female,94960.34,18,5,187.3,5,0
69,Female,49581.35,27,4,135.45,2,0
49,Female,2278.88,41,6,101.7,3,0
21,Male,52822.69,17,4,197.18,2,0
47,Female,75243.26,62,6,180.89,2,0
54,Female,55117.19,29,3,121.96,5,0
40,Female,67876.55,58,3,183.87,5,1
56,Male,71888.0,70,6,72.93,1,0
62,Unknown,48611.13,22,5,85.54,4,0
32,Male,45650.93,6,10,40.68,4,0
60,Male,57761.94,26,6,66.91,3,0
46,Male,58200.02,39,10,59.16,4,0
53,Female,55973.38,12,6,54.15,5,0
30,Male,56712.82,14,6,234.95,2,1
49,Male,41526.17,22,4,151.41,2,1
24,Male,68505.16,51,4,141.69,1,0
68,Male,65786.18,23,2,73.51,3,1
39,Female,30951.85,48,6,61.01,3,0
45,Female,47995.08,71,3,60.85,3,0
19,Male,56675.44,50,7,36.35,4,0
59,Male,45382.37,13,5,129.53,4,0
62,Female,66472.7,10,5,80.6,3,1
23,Male,53796.11,55,7,52.14,3,1
45,Male,58043.31,9,5,63.6,4,0
45,Unknown,47787.23,52,4,92.55,5,0
61,Female,19122.06,2,8,137.17,3,0
61,Male,18093.73,25,5,78.6,3,1
37,Female,65612.97,13,5,167.1,4,0
47,Male,59804.42,51,4,179.58,1,0
28,Female,62895.92,58,6,185.79,3,0
45,Male,57420.51,34,6,81.86,3,0
42,Male,58862.21,35,4,103.72,2,0
56,Male,72442.42,3,7,69.93,2,1
50,Female,63003.15,59,4,86.19,3,0
18,Female,73736.37,70,6,75.97,4,0
44,Male,58086.31,48,8,53.41,5,0
69,Male,49593.13,64,4,99.37,5,0
30,Female,58495.65,19,3,91.02,1,0
58,Male,39948.8,67,7,127.24,2,0
20,Male,48162.76,5,4,128.66,4,0
56,Unknown,58196.28,67,8,93.37,4,0
23,Male,57957.73,11,9,119.69,3,0
25,Female,53084.46,68,6,86.44,2,0
44,Unknown,30012.68,69,6,62.41,3,0
26,Male,66455.37,1,7,56.34,3,0
54,Male,70016.11,63,11,67.42,2,0
50,Male,84586.43,29,3,94.1,5,0
68,Female,62951.97,12,8,134.41,2,1
59,Female,55026.31,41,3,47.13,5,0
61,Female,36765.47,2,4,57.93,5,1
41,Male,81856.32,37,5,220.41,3,0
32,Female,59460.99,45,7,64.98,4,0
49,Female,58480.72,48,7,174.85,4,0
49,Female,50426.99,24,5,65.25,2,1
41,Female,49276.55,22,10,61.7,3,0
58,Female,67388.8,11,3,180.04,4,0
69,Female,36614.07,58,2,44.16,4,0
66,Female,84257.77,46,5,97.95,4,0
66,Male,80335.48,29,6,52.72,3,0
69,Male,48626.89,35,7,81.14,3,0
29,Female,39450.44,15,5,41.29,4,0
56,Male,18726.29,60,5,90.76,3,0
19,Female,32474.55,42,7,45.4,4,0
20,Unknown,68138.41,43,8,156.95,5,0
66,Female,60676.15,49,2,28.63,4,0
54,Male,63885.76,64,10,81.63,4,0
66,Male,21779.57,32,5,49.16,4,0
34,Male,47875.32,64,5,36.54,4,0
66,Female,79610.91,2,7,54.26,4,0
19,Female,53271.51,24,5,133.31,1,1
19,Female,32098.69,66,9,60.67,5,0
45,Male,52991.16,38,14,64.22,1,0
40,Female,41121.69,31,8,177.64,3,0
54,Female,61006.22,26,7,45.06,2,0
49,Male,55369.82,29,5,114.88,2,0
50,Female,64779.34,67,10,142.88,4,0
18,Male,33077.37,25,6,120.6,3,0
36,Male,46923.1,48,3,38.89,4,0
19,Female,74627.82,65,3,62.6,3,0
61,Male,30622.96,53,6,76.58,3,0
43,Female,36943.98,67,7,137.04,3,0
49,Female,58587.35,18,9,139.99,4,0
23,Female,60161.14,9,8,43.85,4,0
49,Male,46200.7,38,5,159.61,3,0
21,Female,49988.21,21,10,112.8,3,0
28,Female,64598.06,65,4,26.29,5,0
34,Female,70293.43,21,7,53.1,2,0
55,Male,35754.01,27,5,73.8,4,0
41,Male,61557.75,70,6,133.73,3,0
22,Female,82216.29,44,7,106.3,2,0
69,Male,52913.94,28,4,113.54,3,0
51,Female,35562.9,45,7,75.35,1,0
23,Female,34730.35,17,4,140.64,5,0
39,Female,52106.73,40,9,126.73,4,0
28,Female,73645.25,3,10,105.63,4,1
65,Female,54266.39,66,4,104.21,4,0
33,Female,58406.18,46,5,98.58,4,0
50,Female,37065.85,30,8,74.25,4,0
26,Female,72696.12,69,10,60.96,5,0
23,Male,34378.15,9,8,82.87,2,0
33,Male,45919.06,11,9,51.73,3,0
46,Female,66338.47,69,8,106.83,4,0
20,Male,18290.23,66,8,211.52,5,0
37,Male,58131.3,31,6,125.67,5,0
53,Male,36296.68,33,2,224.24,4,0
36,Female,55297.89,39,9,135.82,2,0
43,Female,48663.0,46,2,122.6,2,0
20,Female,92905.03,37,2,164.58,5,0
36,Female,47923.82,60,4,29.55,3,0
37,Female,88167.72,31,4,162.48,2,1
49,Male,65565.14,11,5,90.29,5,0
24,Female,40573.74,2,6,127.71,2,1
69,Male,60954.6,27,9,114.01,4,0
58,Female,49520.62,2,6,93.05,4,0
50,Female,59358.83,21,4,157.22,2,1
57,Male,42149.96,58,5,115.86,3,1
56,Male,85423.2,5,5,67.71,2,0
35,Male,71657.17,52,5,74.28,4,0
57,Male,55572.07,45,12,129.8,3,0
18,Male,86124.07,20,5,64.97,1,0
28,Female,56337.03,61,5,170.32,5,0
45,Female,74757.25,38,4,60.3,3,1
42,Female,55689.41,20,7,203.85,3,0
67,Female,62089.98,25,7,109.06,2,0
40,Female,53534.1,2,4,93.77,2,1
48,Female,56715.42,32,7,204.24,5,0
47,Male,58069.57,26,6,62.05,3,0
59,Female,42944.83,70,8,146.22,3,0
52,Male,47780.76,41,4,200.98,5,0
24,Unknown,51098.41,67,4,78.2,4,0
33,Female,59134.8,1,3,93.41,3,0
43,Female,54449.58,51,10,80.07,5,0
65,Male,76114.59,5,9,50.12,4,0
69,Female,70248.13,13,2,81.14,2,1
66,Female,51466.1,19,4,138.36,4,0
19,Male,79872.11,12,5,48.99,5,0
18,Male,88714.37,48,5,133.34,4,0
65,Female,18211.13,25,6,37.04,4,1
29,Male,71781.22,57,3,74.39,5,0
22,Female,42526.28,35,5,103.84,4,0
54,Male,69413.46,5,10,111.71,2,1
49,Male,77288.28,22,5,137.95,3,0
26,Female,39214.13,57,4,35.99,4,0
58,Male,21658.11,47,6,131.32,3,0
52,Female,70037.81,54,3,152.0,5,0
36,Male,57437.24,3,7,71.16,3,0
65,Male,24968.1,53,4,95.66,3,0
33,Female,100532.16,31,7,117.78,4,0
20,Female,66239.55,69,3,78.94,4,0
37,Female,67061.8,33,6,48.62,3,0
41,Female,79584.72,50,6,83.6,1,0
50,Female,44545.17,16,4,119.41,4,1
41,Male,57348.17,39,8,54.42,5,0
69,Male,31252.21,46,9,8.71,4,0
28,Female,44056.93,47,1,170.82,3,0
66,Female,61941.88,44,6,139.02,2,0
25,Female,25024.88,9,4,84.62,4,1
53,Male,43546.79,50,9,55.38,5,0
55,Male,38297.19,60,6,110.24,3,0
57,Female,57557.66,15,4,63.87,4,0
37,Female,65344.62,36,6,55.65,3,1
52,Female,68358.75,63,3,62.94,4,0
65,Female,72978.7,69,6,97.77,5,0
42,Female,79698.1,41,10,121.12,2,0
52,Male,65930.42,24,8,97.82,4,0
42,Male,88972.05,49,7,138.23,2,0
46,Male,57151.05,18,2,204.57,3,1
35,Male,51880.22,7,2,101.03,4,0
63,Female,65931.53,4,9,118.15,1,0
35,Male,51104.6,69,9,99.17,4,0
19,Female,88346.17,60,10,71.76,3,0
52,Male,75357.7,55,10,107.56,4,0
33,Male,68505.01,16,3,32.73,2,1
58,Male,57365.55,29,8,87.39,4,0
53,Male,47665.41,23,8,90.41,4,0
50,Female,67623.85,14,8,104.97,5,0
21,Male,34712.25,49,5,140.72,5,0
50,Female,82618.54,33,4,113.38,3,0
31,Male,51802.54,25,7,104.84,1,0
38,Male,60491.92,21,6,61.49,4,0
65,Male,38627.18,17,7,142.21,4,0
37,Female,68013.75,23,2,112.61,1,1
25,Female,46832.65,57,4,118.82,2,0
24,Male,66686.12,58,2,101.35,4,0
20,Male,68633.08,14,6,117.43,5,0
34,Female,43342.62,20,4,114.65,5,1
50,Male,34776.48,30,8,115.24,2,0
65,Male,82574.2,19,1,89.93,3,1
29,Female,51538.62,53,7,103.64,1,0
68,Female,59047.28,56,2,118.08,3,0
39,Male,63738.36,23,6,110.61,4,0
39,Female,32433.4,62,6,54.61,4,0
63,Female,63327.99,33,8,65.1,4,1
47,Male,56784.28,18,5,120.2,2,0
55,Female,43416.45,33,8,56.8,3,0
55,Female,34182.35,32,5,96.96,5,0
62,Male,65905.94,61,9,83.82,2,0
68,Male,75298.82,54,5,138.43,3,0
25,Male,58214.63,17,8,124.6,4,0
44,Female,29179.62,19,2,126.98,4,1
44,Male,35968.01,70,3,77.19,5,0
51,Female,47221.77,34,2,127.29,3,0
38,Female,83163.16,25,6,111.92,4,1
47,Male,50558.49,68,9,62.8,3,0
50,Female,46565.76,11,5,35.43,5,0
45,Male,24877.27,16,0,80.56,4,1
64,Female,43179.67,61,11,135.24,5,0
50,Female,32807.15,7,3,69.53,2,0
22,Male,36942.76,16,11,118.57,4,0
65,Male,57159.11,16,5,90.07,3,0
36,Male,47779.04,40,5,159.09,1,1
21,Male,85590.9,12,4,67.43,1,1
52,Male,74404.06,35,10,126.35,4,0
66,Male,44040.09,21,5,80.44,3,0
34,Unknown,38497.28,50,4,71.81,5,0
61,Male,79887.55,43,3,102.83,4,0
45,Male,84880.76,17,4,70.82,1,0
47,Female,15503.53,32,7,67.12,4,1
46,Male,56671.44,41,3,118.98,2,1
63,Unknown,50466.19,6,4,175.98,3,0
23,Female,66684.16,27,10,175.48,4,0
52,Female,89968.03,20,4,116.98,5,0
58,Male,46286.97,25,8,104.28,3,0
54,Male,17907.43,66,5,83.66,4,0
41,Male,65422.14,9,3,42.82,4,0
46,Female,80019.35,53,9,208.76,3,0
66,Male,49532.32,61,6,67.13,4,0
63,Male,42309.33,38,8,180.34,4,0
48,Unknown,47129.33,3,5,75.29,1,1
52,Male,70303.7,70,4,57.24,5,0
50,Male,46819.7,55,8,209.25,4,0
69,Male,60917.69,1,4,143.36,3,0
38,Unknown,55500.45,70,7,98.75,5,0
49,Male,53643.17,45,7,41.87,2,0
40,Female,67623.26,47,6,78.68,5,0
50,Female,46385.56,26,5,49.11,3,0
20,Male,47249.44,14,9,138.82,4,0
35,Female,69356.85,54,7,82.91,3,0
42,Male,37235.34,71,10,201.52,4,0
59,Male,39156.04,46,4,83.42,2,0
48,Female,32314.34,31,2,100.25,3,0
20,Female,70282.2,59,9,49.98,2,0
57,Female,53105.73,29,10,155.04,5,0
63,Female,31354.93,17,7,93.22,3,0
41,Male,70368.55,14,3,112.25,4,0
67,Male,45000.24,36,6,95.09,4,0
49,Male,39309.79,58,7,41.84,5,0
64,Male,51477.79,24,9,120.45,2,0
39,Male,81617.02,63,4,132.96,5,0
40,Male,47890.68,25,8,112.23,2,0
19,Male,65356.1,59,10,168.56,4,0
44,Male,68087.44,32,9,94.12,4,0
59,Female,62978.92,18,8,43.65,1,0
19,Female,77879.29,37,7,93.36,2,0
43,Male,42271.91,26,6,90.67,4,1
34,Female,36219.97,9,7,113.77,3,0
57,Female,35866.6,64,8,58.89,5,0
50,Male,52399.57,20,4,227.73,3,0
26,Female,37953.16,54,7,96.53,5,0
60,Female,57655.74,30,15,85.7,3,0
65,Female,56385.79,53,2,119.25,5,0
56,Male,73334.32,63,8,77.0,4,0
46,Female,60240.6,11,8,63.13,4,0
59,Male,47509.27,31,3,44.0,2,0
43,Female,62395.29,49,5,104.96,4,0
52,Female,36456.51,19,4,125.41,2,0
67,Female,54313.47,12,4,52.26,3,0
42,Female,60749.22,15,3,188.2,4,1
41,Female,57327.72,31,4,16.65,4,0
30,Male,62471.17,43,6,65.82,1,0
24,Male,43407.17,37,11,79.04,4,0
53,Female,75736.57,29,4,187.67,4,0
62,Male,87799.04,26,6,97.84,1,1
37,Male,26151.83,2,4,126.65,4,1
18,Male,33119.24,15,9,63.61,4,1
25,Male,55775.49,4,8,102.3,1,0
63,Female,50382.08,50,3,90.53,4,0
33,Female,89135.42,38,13,30.53,4,0
31,Female,58956.12,23,7,164.46,5,0
29,Female,80065.81,59,9,140.19,2,0
68,Male,18115.77,28,4,50.83,5,0
40,Male,69655.05,66,10,108.17,2,0
32,Female,42120.7,8,6,79.06,3,0
45,Male,41832.23,29,9,88.91,2,1
51,Female,50529.56,11,9,138.85,5,0
19,Female,29357.49,18,9,86.45,4,0
49,Male,62970.14,55,11,109.39,1,0
40,Female,58432.87,50,4,118.45,1,0
39,Female,59791.46,14,5,86.42,3,0
68,Female,70966.56,9,2,125.97,2,1
42,Male,82266.08,11,7,142.94,4,0
39,Male,48453.2,63,5,138.07,4,0
39,Female,63592.31,67,8,144.44,5,0
66,Male,60273.79,53,5,29.17,5,0
69,Male,61797.06,39,6,62.99,4,0
59,Female,62066.76,56,5,65.55,1,0
23,Male,83629.06,28,2,87.54,3,0
32,Female,46725.82,39,7,83.92,4,0
60,Female,27536.75,25,9,167.04,4,0
54,Female,42438.27,21,5,35.98,4,0
50,Male,68630.8,10,5,159.46,5,0
25,Female,55419.93,43,7,56.76,5,0
61,Male,46583.21,15,4,83.0,2,0
61,Male,35623.05,48,9,73.13,3,0
22,Female,58983.15,21,1,87.82,5,0
56,Male,66601.11,60,9,50.32,4,0
21,Male,60505.7,50,1,95.58,3,0
23,Female,50440.05,23,6,75.42,4,1
62,Male,57639.54,13,5,110.83,4,0
49,Male,57535.17,69,5,133.56,3,0
69,Female,58414.54,4,10,71.06,2,0
47,Female,33682.51,9,3,236.93,5,0
64,Female,58551.87,35,4,70.66,4,0
52,Male,47069.26,21,6,43.95,2,0
57,Male,73731.13,58,10,146.66,4,0
69,Male,57392.54,18,8,133.84,4,0
33,Male,70038.63,43,7,164.83,5,0
30,Female,49567.94,6,4,130.11,2,0
67,Male,50217.15,67,6,84.56,5,0
59,Male,81896.52,12,6,94.02,2,1
47,Female,62854.03,12,5,39.3,4,0
36,Female,42138.74,66,4,27.76,4,0
34,Female,71145.54,2,4,141.26,3,0
36,Male,45400.51,15,5,77.88,3,0
45,Male,59062.57,23,7,177.95,5,0
43,Male,88060.14,29,5,80.33,4,0
54,Male,29236.92,7,6,81.47,4,1
43,Female,51835.93,28,8,73.9,2,0
40,Female,62348.89,14,5,130.91,1,1
26,Female,68764.57,44,4,46.63,2,0
29,Female,32657.79,30,6,69.79,5,0
18,Male,27355.78,32,7,180.07,4,0
18,Female,74633.49,70,7,88.82,5,0
64,Male,42032.53,6,8,137.55,1,0
51,Female,41278.91,27,9,96.83,4,0
49,Female,82904.49,24,1,167.93,1,1
65,Male,56254.64,34,12,104.29,4,0
42,Male,56372.29,40,3,306.19,3,1
57,Unknown,51763.61,47,13,83.29,2,0
62,Male,32968.32,24,7,168.13,4,0
18,Male,67162.55,65,3,22.22,3,0
33,Male,62370.11,18,0,32.87,4,0
56,Female,58036.44,44,12,94.44,4,0
22,Female,52906.19,57,4,51.58,4,0
39,Female,49738.25,28,2,133.55,5,0
46,Male,71424.7,71,8,185.12,3,0
20,Female,52456.72,23,3,100.27,3,0
29,Male,53846.9,34,4,120.31,4,0
43,Female,64538.08,11,4,134.45,4,0
33,Female,58743.3,35,6,127.72,1,1
68,Male,84560.97,42,9,66.61,5,0
54,Male,23295.4,28,10,105.37,1,0
39,Male,60398.33,24,7,119.64,2,0
46,Male,42299.1,8,6,54.8,2,1
31,Male,38042.44,53,5,108.05,1,0
45,Female,46772.84,4,10,140.45,1,0
22,Female,55984.23,5,8,125.27,1,0
64,Male,56783.24,49,5,74.84,3,0
66,Male,27688.49,30,8,190.52,3,0
47,Male,45260.49,63,6,115.35,2,1
63,Female,60061.99,47,8,39.57,4,0
69,Male,39215.25,26,8,156.99,2,1
22,Female,34933.89,57,6,71.22,1,0
29,Female,14389.62,37,5,76.37,3,0
33,Female,43062.52,7,10,73.32,3,0
43,Female,34306.67,40,4,57.85,3,0
43,Male,37289.21,39,6,177.99,3,0
65,Female,50107.23,62,10,105.81,4,0
38,Male,44203.08,53,6,85.76,4,0
56,Male,34007.72,4,5,55.15,5,1
53,Female,16914.85,25,11,148.32,4,0
50,Female,60441.6,7,6,139.28,3,0
47,Female,68550.89,28,7,148.61,2,0
54,Male,47858.59,69,4,140.37,4,0
40,Male,50216.04,67,6,100.26,2,0
27,Female,55050.59,20,8,118.31,4,0
22,Male,83418.1,11,2,162.89,3,1
53,Female,26781.26,67,5,141.78,4,0
51,Female,47539.18,7,2,128.75,5,1
69,Female,24004.49,23,4,144.18,5,0
48,Male,61521.73,61,8,63.08,2,0
27,Male,52408.75,71,6,61.31,3,0
36,Male,58653.86,34,3,106.53,4,0
49,Female,57756.21,19,6,72.36,4,0
18,Male,72832.75,58,5,150.16,3,0
22,Female,64686.39,9,8,86.69,4,0
62,Male,69949.14,48,4,65.46,4,0
21,Unknown,35820.38,41,11,187.55,5,0
33,Male,76477.08,48,9,62.03,4,0
41,Male,41997.47,45,7,88.55,3,1
33,Male,43032.35,25,4,126.0,4,1
19,Female,59875.17,25,8,54.5,4,0
66,Female,60434.53,19,8,51.32,4,0
45,Female,35706.58,39,3,217.8,4,0
49,Male,51880.97,27,9,91.22,5,0
44,Male,81788.24,63,4,100.42,4,0
37,Female,28569.94,68,11,121.51,3,0
41,Male,81733.95,19,7,81.32,4,0
29,Male,50649.43,28,3,103.5,4,0
67,Unknown,12920.41,33,7,37.9,1,0
52,Unknown,30398.83,10,4,128.3,3,0
50,Female,37657.4,30,4,109.58,4,0
50,Female,43769.27,22,7,141.22,4,0
68,Male,53115.16,3,7,79.1,4,1
60,Male,6337.36,48,9,147.27,3,0
54,Female,58362.48,2,10,47.25,5,0
29,Female,36008.37,54,4,57.32,3,0
20,Male,80029.41,6,8,81.86,2,1
18,Male,50136.82,40,4,87.55,3,0
50,Male,71971.23,2,7,97.46,4,0
57,Female,74986.28,2,10,115.87,3,0
27,Female,74498.92,55,12,50.93,3,0
60,Female,44804.68,60,7,115.33,4,0
61,Male,44574.4,6,5,179.3,3,0
46,Unknown,50950.48,19,7,127.08,4,0
30,Female,66452.27,27,6,141.04,4,0
29,Male,45807.49,1,9,55.81,4,0
48,Male,52853.28,33,9,67.92,3,0
63,Male,59924.69,40,4,131.25,4,0
19,Male,38711.95,32,4,85.1,3,0
68,Female,37574.05,69,4,100.79,5,0
67,Male,52151.25,17,2,80.86,5,0
52,Female,54535.22,8,10,63.13,3,0
40,Male,62809.94,57,8,111.36,2,0
34,Male,67093.96,42,2,119.67,2,0
43,Male,35216.87,9,4,70.29,3,1
25,Male,40382.47,35,14,61.41,4,0
46,Female,37526.46,71,2,81.74,4,1
43,Female,80424.05,53,3,71.22,3,0
27,Female,52835.13,54,5,34.5,4,0
43,Female,55290.33,25,6,103.63,5,0
51,Male,56039.94,67,10,132.29,4,0
68,Male,42117.94,62,3,66.39,2,0
58,Male,83156.85,55,7,160.72,4,0
24,Female,62398.48,46,4,134.29,4,0
21,Male,55712.63,24,6,71.19,5,0
67,Male,35105.38,46,5,47.75,3,0
62,Female,34085.22,22,8,77.59,3,0
28,Male,49439.66,11,6,73.33,4,0
46,Male,42400.15,48,1,65.04,4,0
53,Male,35786.0,8,5,86.79,4,0
42,Female,48322.76,39,9,61.58,1,0
38,Female,51104.3,35,4,100.05,4,0
53,Female,57552.14,49,1,124.13,2,1
27,Male,45929.45,46,4,58.33,3,0
54,Unknown,36863.19,38,8,83.15,4,0
26,Female,37487.42,8,6,30.48,2,0
41,Male,76833.51,54,6,98.01,3,0
52,Female,32468.36,37,6,101.68,4,0
66,Male,61537.28,40,2,62.63,4,0
52,Female,64351.83,34,5,112.83,2,0
65,Female,52817.04,17,10,44.12,4,0
53,Male,86820.92,33,3,108.81,2,0
35,Unknown,64030.94,47,8,31.19,3,0
66,Female,88172.25,52,1,120.25,3,1
56,Female,43280.85,9,9,99.95,2,0
49,Male,43588.98,33,10,52.03,5,0
41,Male,64495.67,60,5,112.58,2,0
40,Male,50293.62,21,12,60.9,4,0
49,Female,85341.98,58,2,93.19,4,0
54,Male,61150.61,69,5,180.54,5,0
29,Female,36197.66,10,3,170.97,3,0
66,Female,23737.3,6,5,117.46,5,0
30,Male,53591.71,13,8,154.08,5,0
40,Female,53395.78,65,3,33.3,2,0
42,Male,60647.79,20,11,153.63,3,0
52,Unknown,76792.43,57,2,80.68,1,0
58,Female,74424.04,46,5,92.13,4,0
47,Male,44579.78,8,4,77.91,4,0
34,Male,31711.25,10,3,90.51,2,1
