TenureMonths,PurchaseFrequency,AvgOrderValue,AnnualIncome,CSAT_Rating,SupportTickets,AnnualSpend,IncomeSpendRatio,EngagementScore,TenureSpendVelocity,Churn
44,7,78.63,31932.4,4,3,6604.92,0.2068,1.75,150.11,1
34,2,83.04,62535.56,5,2,1992.96,0.0319,0.667,58.62,0
62,4,63.97,64777.15,5,1,3070.56,0.0474,2.0,49.53,0
14,8,35.51,26480.42,2,1,3408.96,0.1287,4.0,243.5,1
48,9,58.87,66275.92,2,3,6357.96,0.0959,2.25,132.46,0
15,7,97.45,58249.08,4,1,8185.8,0.1405,3.5,545.72,0
62,4,87.53,64281.93,3,4,4201.44,0.0654,0.8,67.77,0
40,5,119.85,56304.16,1,1,7191.0,0.1277,2.5,179.78,0
53,7,76.63,62658.49,3,3,6436.92,0.1027,1.75,121.45,0
24,5,71.86,63280.51,4,2,4311.6,0.0681,1.667,179.65,0
26,2,232.75,63494.39,4,3,5586.0,0.088,0.5,214.85,0
60,3,64.75,59393.18,4,1,2331.0,0.0392,1.5,38.85,0
41,10,66.67,53459.89,3,1,8000.4,0.1497,5.0,195.13,0
29,7,149.28,53566.44,4,4,12539.52,0.2341,1.4,432.4,0
15,4,133.34,59142.99,2,1,6400.32,0.1082,2.0,426.69,0
45,6,81.19,69857.45,4,1,5845.68,0.0837,3.0,129.9,0
65,9,138.22,90365.34,1,3,14927.76,0.1652,2.25,229.66,1
71,4,102.73,64512.43,3,0,4931.04,0.0764,4.0,69.45,0
9,9,77.02,61793.34,3,2,8318.16,0.1346,3.0,924.24,0
1,9,129.37,76877.74,4,1,13971.96,0.1817,4.5,13971.96,0
8,10,98.21,62136.27,4,3,11785.2,0.1897,2.5,1473.15,0
63,8,36.63,35914.42,3,1,3516.48,0.0979,4.0,55.82,0
11,5,129.44,41800.05,1,1,7766.4,0.1858,2.5,706.04,0
8,6,91.82,87920.55,3,3,6611.04,0.0752,1.5,826.38,1
35,4,179.97,42158.2,4,1,8638.56,0.2049,2.0,246.82,0
35,4,141.03,65262.65,1,3,6769.44,0.1037,1.0,193.41,0
33,10,106.33,37203.29,2,3,12759.6,0.343,2.5,386.65,0
5,4,82.26,78117.29,4,4,3948.48,0.0505,0.8,789.7,0
41,4,97.01,46716.94,4,3,4656.48,0.0997,1.0,113.57,0
28,7,63.22,56490.03,3,3,5310.48,0.094,1.75,189.66,1
7,3,106.32,50891.66,4,0,3827.52,0.0752,3.0,546.79,0
12,8,186.03,64087.6,5,3,17858.88,0.2787,2.0,1488.24,1
34,8,212.99,58087.81,5,2,20447.04,0.352,2.667,601.38,0
33,7,161.93,71379.35,3,4,13602.12,0.1906,1.4,412.19,0
48,5,103.61,66794.8,4,1,6216.6,0.0931,2.5,129.51,0
23,4,47.18,60072.97,4,1,2264.64,0.0377,2.0,98.46,0
62,0,94.35,66724.96,5,0,0.0,0.0,0.0,0.0,0
37,4,145.12,67606.65,3,2,6965.76,0.103,1.333,188.26,0
44,2,137.97,47845.73,4,0,3311.28,0.0692,2.0,75.26,0
35,4,90.31,46473.24,4,2,4334.88,0.0933,1.333,123.85,0
65,8,87.05,82937.71,4,2,8356.8,0.1008,2.667,128.57,0
47,5,115.68,67713.1,4,1,6940.8,0.1025,2.5,147.68,0
3,8,99.7,62279.19,3,0,9571.2,0.1537,8.0,3190.4,0
1,6,94.12,40569.78,2,4,6776.64,0.167,1.2,6776.64,0
5,4,92.06,22811.55,3,3,4418.88,0.1937,1.0,883.78,1
14,9,171.91,49731.96,5,2,18566.28,0.3733,3.0,1326.16,0
27,6,59.24,46852.14,4,0,4265.28,0.091,6.0,157.97,0
9,6,84.74,49414.14,4,1,6101.28,0.1235,3.0,677.92,0
15,4,86.95,70351.42,4,0,4173.6,0.0593,4.0,278.24,0
42,2,104.87,82493.37,2,3,2516.88,0.0305,0.5,59.93,0
51,6,98.28,74970.39,3,2,7076.16,0.0944,2.0,138.75,1
63,9,95.36,44097.1,4,0,10298.88,0.2336,9.0,163.47,0
52,3,61.02,64687.13,5,1,2196.72,0.034,1.5,42.24,0
4,2,98.22,46228.23,2,3,2357.28,0.051,0.5,589.32,1
23,4,127.94,21859.99,3,1,6141.12,0.2809,2.0,267.01,0
15,7,106.47,53623.73,2,2,8943.48,0.1668,2.333,596.23,1
43,4,58.72,77693.06,3,1,2818.56,0.0363,2.0,65.55,0
29,4,101.91,48975.49,3,2,4891.68,0.0999,1.333,168.68,0
36,8,99.04,69998.04,4,3,9507.84,0.1358,2.0,264.11,0
13,5,83.24,43019.1,3,1,4994.4,0.1161,2.5,384.18,0
32,8,106.99,67392.97,2,2,10271.04,0.1524,2.667,320.97,1
71,4,72.9,50615.21,4,1,3499.2,0.0691,2.0,49.28,0
59,6,130.4,82420.63,5,2,9388.8,0.1139,2.0,159.13,0
28,6,207.13,49360.19,3,2,14913.36,0.3021,2.0,532.62,1
66,3,135.34,45237.05,4,3,4872.24,0.1077,0.75,73.82,0
42,7,67.51,81486.78,3,1,5670.84,0.0696,3.5,135.02,0
45,8,127.28,44616.91,5,0,12218.88,0.2739,8.0,271.53,0
62,11,141.21,58830.99,4,2,18639.72,0.3168,3.667,300.64,0
57,8,114.86,44746.61,4,4,11026.56,0.2464,1.6,193.45,1
6,3,120.09,71633.74,1,2,4323.24,0.0604,1.0,720.54,0
28,6,94.2,78343.83,4,2,6782.4,0.0866,2.0,242.23,0
28,3,54.38,42858.49,4,2,1957.68,0.0457,1.0,69.92,0
44,6,91.33,64834.1,3,2,6575.76,0.1014,2.0,149.45,0
30,9,62.87,66504.83,3,1,6789.96,0.1021,4.5,226.33,0
62,5,87.78,57271.61,4,0,5266.8,0.092,5.0,84.95,0
62,2,75.92,82460.64,4,0,1822.08,0.0221,2.0,29.39,0
1,8,60.91,82324.47,1,2,5847.36,0.071,2.667,5847.36,1
27,9,168.91,39652.39,4,2,18242.28,0.4601,3.0,675.64,1
62,5,97.38,76755.85,2,1,5842.8,0.0761,2.5,94.24,0
3,7,77.11,64119.08,2,0,6477.24,0.101,7.0,2159.08,0
70,7,15.59,59392.14,4,1,1309.56,0.022,3.5,18.71,0
27,2,43.8,50820.54,3,2,1051.2,0.0207,0.667,38.93,0
9,5,138.02,28318.75,3,3,8281.2,0.2924,1.25,920.13,0
62,2,108.03,60094.39,3,1,2592.72,0.0431,1.0,41.82,0
37,9,220.31,60541.62,4,4,23793.48,0.393,1.8,643.07,1
51,10,70.21,90905.21,3,1,8425.2,0.0927,5.0,165.2,0
44,6,162.89,42865.86,5,3,11728.08,0.2736,1.5,266.55,0
24,6,91.31,26069.12,3,1,6574.32,0.2522,3.0,273.93,0
59,13,64.43,33774.88,4,2,10051.08,0.2976,4.333,170.36,0
32,10,81.14,83642.02,3,1,9736.8,0.1164,5.0,304.27,0
52,5,102.6,46939.79,4,3,6156.0,0.1311,1.25,118.38,1
62,8,77.15,79548.85,4,1,7406.4,0.0931,4.0,119.46,0
58,7,55.31,55112.62,3,3,4646.04,0.0843,1.75,80.1,0
52,7,63.37,37455.65,3,0,5323.08,0.1421,7.0,102.37,0
12,5,122.36,91023.72,3,0,7341.6,0.0807,5.0,611.8,0
39,4,59.64,78719.98,1,3,2862.72,0.0364,1.0,73.4,1
2,6,72.51,51768.7,2,2,5220.72,0.1008,2.0,2610.36,0
3,4,60.68,72942.36,4,2,2912.64,0.0399,1.333,970.88,0
56,7,109.24,57215.12,4,4,9176.16,0.1604,1.4,163.86,1
59,4,268.47,62876.58,3,1,12886.56,0.205,2.0,218.42,0
2,6,120.13,86721.79,3,3,8649.36,0.0997,1.5,4324.68,1
2,5,68.68,27646.58,1,2,4120.8,0.1491,1.667,2060.4,1
54,5,109.19,48544.5,3,6,6551.4,0.135,0.714,121.32,0
1,3,70.62,55525.8,4,2,2542.32,0.0458,1.0,2542.32,0
19,4,104.71,61020.88,4,1,5026.08,0.0824,2.0,264.53,0
2,10,177.82,32523.64,2,1,21338.4,0.6561,5.0,10669.2,1
53,8,95.06,71504.73,3,1,9125.76,0.1276,4.0,172.18,0
44,2,112.56,34228.61,4,4,2701.44,0.0789,0.4,61.4,1
32,7,96.88,32503.53,2,2,8137.92,0.2504,2.333,254.31,1
70,2,143.32,50485.87,3,4,3439.68,0.0681,0.4,49.14,0
32,6,128.89,89119.04,4,4,9280.08,0.1041,1.2,290.0,0
68,6,82.77,100749.54,4,0,5959.44,0.0592,6.0,87.64,0
55,3,128.93,63793.4,3,1,4641.48,0.0728,1.5,84.39,0
56,3,105.09,50712.44,5,1,3783.24,0.0746,1.5,67.56,0
17,11,79.76,57813.63,2,3,10528.32,0.1821,2.75,619.31,1
38,7,80.36,61028.38,4,2,6750.24,0.1106,2.333,177.64,0
24,8,103.7,81395.18,2,4,9955.2,0.1223,1.6,414.8,0
69,7,111.83,33073.33,4,1,9393.72,0.284,3.5,136.14,0
70,3,90.32,76500.37,5,1,3251.52,0.0425,1.5,46.45,0
11,4,113.02,29318.72,3,4,5424.96,0.185,0.8,493.18,1
16,4,67.81,46343.88,4,5,3254.88,0.0702,0.667,203.43,0
59,6,58.42,54953.72,4,2,4206.24,0.0765,2.0,71.29,0
70,5,46.87,62400.62,2,2,2812.2,0.0451,1.667,40.17,0
3,11,121.49,54935.12,4,2,16036.68,0.2919,3.667,5345.56,0
20,10,44.82,58151.17,5,1,5378.4,0.0925,5.0,268.92,0
59,5,112.52,55727.92,4,4,6751.2,0.1211,1.0,114.43,0
36,1,77.65,27626.54,2,2,931.8,0.0337,0.333,25.88,1
19,5,83.98,65352.43,2,1,5038.8,0.0771,2.5,265.2,1
67,4,84.52,69603.5,3,3,4056.96,0.0583,1.0,60.55,0
19,4,246.77,79167.76,2,1,11844.96,0.1496,2.0,623.42,0
20,7,73.47,88247.21,4,1,6171.48,0.0699,3.5,308.57,1
71,9,62.54,62395.01,1,3,6754.32,0.1083,2.25,95.13,0
52,4,201.98,80407.21,2,1,9695.04,0.1206,2.0,186.44,0
33,6,49.26,55325.8,3,0,3546.72,0.0641,6.0,107.48,0
40,6,54.82,28892.47,3,1,3947.04,0.1366,3.0,98.68,0
39,5,139.17,72299.55,4,4,8350.2,0.1155,1.0,214.11,0
1,8,114.19,68311.42,4,2,10962.24,0.1605,2.667,10962.24,0
11,6,80.22,55011.28,1,0,5775.84,0.105,6.0,525.08,0
57,4,59.13,53878.93,2,3,2838.24,0.0527,1.0,49.79,1
50,7,34.53,63603.99,1,3,2900.52,0.0456,1.75,58.01,1
23,5,182.1,48923.8,3,4,10926.0,0.2233,1.0,475.04,1
31,2,129.08,62960.63,1,2,3097.92,0.0492,0.667,99.93,0
42,2,173.33,38400.49,4,2,4159.92,0.1083,0.667,99.05,1
7,10,150.43,40423.13,2,3,18051.6,0.4466,2.5,2578.8,1
16,10,116.74,31229.39,5,1,14008.8,0.4486,5.0,875.55,0
60,7,72.55,95393.05,4,3,6094.2,0.0639,1.75,101.57,0
2,6,59.24,56315.48,3,1,4265.28,0.0757,3.0,2132.64,0
1,6,156.87,76748.62,4,2,11294.64,0.1472,2.0,11294.64,1
48,6,77.73,35257.91,4,3,5596.56,0.1587,1.5,116.6,0
12,8,60.81,51729.64,4,3,5837.76,0.1129,2.0,486.48,1
69,4,70.2,64926.97,5,0,3369.6,0.0519,4.0,48.83,0
37,3,161.14,81482.72,3,2,5801.04,0.0712,1.0,156.78,1
32,6,63.68,44155.11,4,2,4584.96,0.1038,2.0,143.28,0
9,7,80.42,47754.51,3,2,6755.28,0.1415,2.333,750.59,1
19,7,91.35,40744.85,5,1,7673.4,0.1883,3.5,403.86,0
48,2,106.26,52828.96,3,1,2550.24,0.0483,1.0,53.13,0
3,6,61.39,36642.73,3,0,4420.08,0.1206,6.0,1473.36,1
20,8,90.01,29138.64,4,1,8640.96,0.2965,4.0,432.05,0
24,11,140.33,59656.22,2,4,18523.56,0.3105,2.2,771.82,1
54,8,220.47,67070.74,2,3,21165.12,0.3156,2.0,391.95,0
33,9,56.31,34497.23,3,3,6081.48,0.1763,2.25,184.29,1
24,5,60.54,42859.14,4,4,3632.4,0.0848,1.0,151.35,0
36,4,64.71,53200.95,5,1,3106.08,0.0584,2.0,86.28,0
38,10,125.37,85721.54,4,4,15044.4,0.1755,2.0,395.91,0
25,5,58.2,4013.71,4,1,3492.0,0.3492,2.5,139.68,0
18,2,88.6,63009.48,4,2,2126.4,0.0337,0.667,118.13,1
66,9,84.54,67226.56,1,2,9130.32,0.1358,3.0,138.34,0
54,8,229.19,42181.53,2,0,22002.24,0.5216,8.0,407.45,0
35,6,73.18,48713.87,4,2,5268.96,0.1082,2.0,150.54,0
61,3,71.21,60993.82,3,2,2563.56,0.042,1.0,42.03,0
41,3,125.32,54466.58,2,2,4511.52,0.0828,1.0,110.04,0
33,8,109.04,85583.09,3,1,10467.84,0.1223,4.0,317.21,0
68,4,69.03,56847.61,4,4,3313.44,0.0583,0.8,48.73,0
33,3,166.09,70502.02,3,3,5979.24,0.0848,0.75,181.19,1
14,4,48.55,63104.64,4,3,2330.4,0.0369,1.0,166.46,1
21,6,92.66,67494.14,4,3,6671.52,0.0988,1.5,317.69,0
48,5,82.1,41007.0,4,4,4926.0,0.1201,1.0,102.62,0
20,7,89.1,58621.4,5,0,7484.4,0.1277,7.0,374.22,0
8,10,68.74,53819.85,3,3,8248.8,0.1533,2.5,1031.1,0
7,8,89.99,42107.95,4,2,8639.04,0.2052,2.667,1234.15,0
67,7,103.65,71650.31,5,4,8706.6,0.1215,1.4,129.95,1
17,5,27.64,18722.77,4,1,1658.4,0.0886,2.5,97.55,0
33,5,76.3,79245.18,4,1,4578.0,0.0578,2.5,138.73,0
48,6,64.97,15062.41,3,1,4677.84,0.3106,3.0,97.46,0
59,6,196.05,52232.92,4,2,14115.6,0.2702,2.0,239.25,0
22,3,115.03,71940.91,1,3,4141.08,0.0576,0.75,188.23,1
30,7,63.27,33609.13,5,2,5314.68,0.1581,2.333,177.16,0
38,4,74.47,62627.31,4,1,3574.56,0.0571,2.0,94.07,0
51,7,83.5,60681.2,5,1,7014.0,0.1156,3.5,137.53,0
54,6,73.73,60879.38,4,0,5308.56,0.0872,6.0,98.31,0
8,7,118.85,48723.37,2,3,9983.4,0.2049,1.75,1247.92,1
27,4,181.06,46624.62,1,5,8690.88,0.1864,0.667,321.88,1
27,3,18.83,26737.74,5,1,677.88,0.0254,1.5,25.11,0
21,4,81.22,53128.3,3,3,3898.56,0.0734,1.0,185.65,1
30,6,219.95,71515.19,3,2,15836.4,0.2214,2.0,527.88,1
28,5,82.68,46790.18,4,0,4960.8,0.106,5.0,177.17,0
64,5,106.3,47687.96,3,3,6378.0,0.1337,1.25,99.66,0
69,12,31.28,83613.91,4,2,4504.32,0.0539,4.0,65.28,0
61,6,165.24,52057.02,4,1,11897.28,0.2285,3.0,195.04,0
48,4,55.84,61338.88,4,1,2680.32,0.0437,2.0,55.84,0
19,6,113.78,64642.94,5,2,8192.16,0.1267,2.0,431.17,0
4,6,60.72,52045.27,2,3,4371.84,0.084,1.5,1092.96,1
35,9,23.44,67262.61,3,2,2531.52,0.0376,3.0,72.33,0
64,9,109.14,72809.22,3,1,11787.12,0.1619,4.5,184.17,0
49,5,130.38,71264.29,5,4,7822.8,0.1098,1.0,159.65,0
17,7,91.41,73276.87,3,1,7678.44,0.1048,3.5,451.67,0
44,10,52.56,17511.11,3,5,6307.2,0.3602,1.667,143.35,1
30,2,239.6,33905.42,4,2,5750.4,0.1696,0.667,191.68,1
46,5,128.17,45739.39,3,0,7690.2,0.1681,5.0,167.18,0
6,5,101.72,40672.81,5,1,6103.2,0.1501,2.5,1017.2,0
37,5,153.39,42038.16,5,2,9203.4,0.2189,1.667,248.74,0
24,7,73.7,71012.15,4,3,6190.8,0.0872,1.75,257.95,0
46,4,204.76,56924.46,4,2,9828.48,0.1727,1.333,213.66,1
53,7,129.22,52536.67,1,0,10854.48,0.2066,7.0,204.8,0
60,4,146.92,50939.88,4,0,7052.16,0.1384,4.0,117.54,0
63,8,80.47,47797.52,4,2,7725.12,0.1616,2.667,122.62,0
32,5,55.14,50645.19,3,1,3308.4,0.0653,2.5,103.39,0
33,7,102.39,79976.61,2,2,8600.76,0.1075,2.333,260.63,0
67,5,75.18,23243.99,5,2,4510.8,0.1941,1.667,67.33,0
18,8,215.6,77940.06,3,2,20697.6,0.2656,2.667,1149.87,0
25,5,47.82,96286.19,4,0,2869.2,0.0298,5.0,114.77,0
54,3,171.62,77803.18,1,0,6178.32,0.0794,3.0,114.41,0
58,8,40.16,37181.2,3,2,3855.36,0.1037,2.667,66.47,0
67,12,60.6,46242.44,4,2,8726.4,0.1887,4.0,130.24,0
46,10,39.71,73599.38,3,2,4765.2,0.0647,3.333,103.59,0
24,3,73.79,50524.2,4,3,2656.44,0.0526,0.75,110.68,1
32,3,85.56,45891.81,2,1,3080.16,0.0671,1.5,96.26,0
47,9,69.44,53182.35,3,4,7499.52,0.141,1.8,159.56,0
23,7,113.72,34806.69,5,1,9552.48,0.2744,3.5,415.33,0
66,4,85.85,52655.35,4,0,4120.8,0.0783,4.0,62.44,0
27,5,31.78,33288.12,5,3,1906.8,0.0573,1.25,70.62,1
2,3,59.04,68004.53,5,1,2125.44,0.0313,1.5,1062.72,0
17,4,80.08,39802.04,5,4,3843.84,0.0966,0.8,226.11,1
33,5,150.46,55927.05,5,2,9027.6,0.1614,1.667,273.56,0
9,4,99.41,47000.06,1,2,4771.68,0.1015,1.333,530.19,1
43,4,75.53,61876.91,5,3,3625.44,0.0586,1.0,84.31,1
48,8,44.99,69802.01,2,1,4319.04,0.0619,4.0,89.98,0
39,7,101.4,60156.97,1,3,8517.6,0.1416,1.75,218.4,1
42,4,166.18,42394.33,1,0,7976.64,0.1882,4.0,189.92,0
26,5,81.71,44863.08,3,2,4902.6,0.1093,1.667,188.56,1
50,6,61.81,97478.2,4,0,4450.32,0.0457,6.0,89.01,0
25,4,121.45,72073.25,3,0,5829.6,0.0809,4.0,233.18,0
24,3,153.14,51438.56,1,1,5513.04,0.1072,1.5,229.71,0
13,7,86.87,44665.11,3,1,7297.08,0.1634,3.5,561.31,0
60,9,127.79,29099.03,3,1,13801.32,0.4743,4.5,230.02,0
7,9,77.35,75308.2,4,2,8353.8,0.1109,3.0,1193.4,0
57,7,130.52,42203.74,3,1,10963.68,0.2598,3.5,192.35,0
36,7,169.94,73967.24,2,2,14274.96,0.193,2.333,396.53,0
45,7,139.16,69894.37,3,1,11689.44,0.1672,3.5,259.77,0
20,9,119.23,79350.44,3,1,12876.84,0.1623,4.5,643.84,1
65,6,195.01,68659.1,4,2,14040.72,0.2045,2.0,216.01,0
8,3,83.59,51222.84,3,1,3009.24,0.0587,1.5,376.16,0
16,7,119.21,55286.34,3,1,10013.64,0.1811,3.5,625.85,0
14,2,84.88,55441.64,3,3,2037.12,0.0367,0.5,145.51,1
15,3,119.24,50162.57,3,1,4292.64,0.0856,1.5,286.18,1
66,5,128.34,25782.08,5,3,7700.4,0.2987,1.25,116.67,1
32,5,143.2,16209.88,3,1,8592.0,0.53,2.5,268.5,1
63,6,96.21,68658.93,4,2,6927.12,0.1009,2.0,109.95,0
51,8,36.4,51743.4,4,0,3494.4,0.0675,8.0,68.52,0
25,5,85.68,72280.71,1,1,5140.8,0.0711,2.5,205.63,0
58,6,126.35,48168.3,5,2,9097.2,0.1889,2.0,156.85,0
63,7,108.8,54979.31,4,1,9139.2,0.1662,3.5,145.07,0
62,0,116.01,71731.52,4,0,0.0,0.0,0.0,0.0,1
22,3,131.94,82996.09,3,2,4749.84,0.0572,1.0,215.9,0
58,7,55.1,49308.77,4,2,4628.4,0.0939,2.333,79.8,0
58,4,134.97,36998.55,3,3,6478.56,0.1751,1.0,111.7,0
49,7,199.38,76834.15,1,1,16747.92,0.218,3.5,341.79,0
52,7,80.08,49832.45,5,1,6726.72,0.135,3.5,129.36,0
42,10,144.53,46265.7,5,2,17343.6,0.3749,3.333,412.94,0
70,3,98.86,47803.72,2,2,3558.96,0.0744,1.0,50.84,0
15,4,114.58,42064.59,4,2,5499.84,0.1307,1.333,366.66,1
54,4,138.33,68927.42,4,2,6639.84,0.0963,1.333,122.96,0
60,6,108.52,30911.87,2,3,7813.44,0.2528,1.5,130.22,0
8,9,77.86,56836.92,3,3,8408.88,0.1479,2.25,1051.11,0
53,7,110.71,59494.76,3,1,9299.64,0.1563,3.5,175.46,0
60,5,61.67,44226.18,4,1,3700.2,0.0837,2.5,61.67,0
5,6,45.42,83568.38,5,3,3270.24,0.0391,1.5,654.05,1
68,5,28.96,71170.02,2,3,1737.6,0.0244,1.25,25.55,0
6,6,174.83,46818.48,4,2,12587.76,0.2689,2.0,2097.96,0
47,6,117.22,53089.36,4,2,8439.84,0.159,2.0,179.57,0
55,9,128.96,71097.23,4,3,13927.68,0.1959,2.25,253.23,0
40,4,105.74,56440.49,2,2,5075.52,0.0899,1.333,126.89,1
52,7,40.25,80228.41,4,2,3381.0,0.0421,2.333,65.02,0
16,5,169.38,65191.77,5,3,10162.8,0.1559,1.25,635.17,1
13,5,77.94,59551.9,3,1,4676.4,0.0785,2.5,359.72,0
30,7,30.53,59396.98,3,3,2564.52,0.0432,1.75,85.48,0
19,6,85.2,111680.14,4,0,6134.4,0.0549,6.0,322.86,0
17,8,160.18,36667.67,2,3,15377.28,0.4194,2.0,904.55,1
63,5,61.21,35300.15,5,1,3672.6,0.104,2.5,58.3,0
19,6,81.8,50654.02,3,4,5889.6,0.1163,1.2,309.98,1
58,6,79.13,80284.39,1,2,5697.36,0.071,2.0,98.23,0
55,10,60.33,10650.04,3,3,7239.6,0.6798,2.5,131.63,1
62,5,99.66,20729.99,2,2,5979.6,0.2885,1.667,96.45,0
23,4,64.31,47804.9,2,1,3086.88,0.0646,2.0,134.21,0
9,3,172.69,93162.87,4,2,6216.84,0.0667,1.0,690.76,1
12,6,43.74,55457.93,2,3,3149.28,0.0568,1.5,262.44,1
1,3,51.66,34076.46,5,3,1859.76,0.0546,0.75,1859.76,0
58,4,81.75,69796.87,4,1,3924.0,0.0562,2.0,67.66,1
1,4,94.51,84914.74,3,1,4536.48,0.0534,2.0,4536.48,0
34,5,68.98,43503.58,3,1,4138.8,0.0951,2.5,121.73,0
48,7,132.88,63179.3,4,6,11161.92,0.1767,1.0,232.54,1
1,3,87.07,57821.63,3,3,3134.52,0.0542,0.75,3134.52,1
16,5,120.27,65300.78,2,2,7216.2,0.1105,1.667,451.01,0
61,5,167.05,46738.77,5,1,10023.0,0.2144,2.5,164.31,0
64,4,192.12,66315.36,3,0,9221.76,0.1391,4.0,144.09,0
63,7,82.65,70092.42,1,2,6942.6,0.099,2.333,110.2,1
69,9,99.29,67857.39,4,0,10723.32,0.158,9.0,155.41,0
22,8,19.78,25797.87,4,2,1898.88,0.0736,2.667,86.31,0
67,7,108.26,29190.45,3,0,9093.84,0.3115,7.0,135.73,0
26,8,83.91,42593.81,4,2,8055.36,0.1891,2.667,309.82,1
16,7,58.48,59814.77,4,1,4912.32,0.0821,3.5,307.02,0
51,5,148.54,65065.59,4,2,8912.4,0.137,1.667,174.75,0
57,10,58.5,36026.44,3,3,7020.0,0.1949,2.5,123.16,0
29,5,155.14,60836.27,5,3,9308.4,0.153,1.25,320.98,1
69,4,116.27,72023.12,3,1,5580.96,0.0775,2.0,80.88,0
